region,job_type,department,prestige,ga_sid,school,school_short,school_ctyst,school_cszip,school_address,title
westcoast,data_science,Computer Science,H,ds01,Stanford University,Stanford,"Stanford, CA","Stanford, CA 94305","353 Serra Mall, Gates 438","Ph.D. Candidate, Department of Computer Science"
westcoast,data_science,Electrical Engineering and Computer Sciences,H,ds02,University of California Berkeley,Berkeley,"Berkeley, CA","Berkeley, CA 94720",253 Cory Hall,"Ph.D. Candidate, Department of Electrical Engineering and Computer Sciences"
northeast,data_science,Electrical Engineering and Computer Science,H,ds03,Massachusetts Institute of Technology,MIT,"Cambridge, MA","Cambridge, MA 02139","32 Vassar St, Room 376","Ph.D. Candidate, Department of Electrical Engineering and Computer Science"
northeast,data_science,Machine Learning,H,ds04,Carnegie Mellon University,Carnegie Mellon,"Pittsburgh, PA","Pittsburgh, PA 15213","5000 Forbes Ave, GHC 8213 ","Ph.D. Candidate, Machine Learning Department, School of Computer Science"
westcoast,data_science,Electrical Engineering and Computer Science,L,ds05,University of California - Merced,UCMerced,"Merced, CA","Merced, CA 95343","5200 N. Lake Road, SE2-315","Ph.D. Candidate, Department of Electrical Engineering and Computer Science"
westcoast,data_science,Computer Science,L,ds06,Portland State University,Portland State,"Portland, OR","Portland, OR 97201","1900 SW 4th Ave, FAB 120","Ph.D. Candidate, Department of Computer Science"
northeast,data_science,Computer Science,L,ds07,University of Massachusetts - Lowell,Umass Lowell,"Lowell, MA","Lowell, MA 01854","198 Riverside St, Olsen Hall 204","Ph.D. Candidate, Department of Computer Science"
northeast,data_science,Computer Science,L,ds08,University of Vermont,UVM,"Burlington, VT","Burlington, VT 05405","33 Colchester Ave, Votey 351","Ph.D. Candidate, Department of Computer Science"
midwest,data_science,Computer Science,H,ds09,University of Chicago,Uchicago,"Chicago, IL","Chicago, IL 60637","5730 S. Ellis Ave, JCL 351","Ph.D. Candidate, Department of Computer Science"
midwest,data_science,Computer Science,H,ds10,University of Illinois at Urbana-Champaign,Illinois,"Urbana, IL","Urbana, IL 61801","201 N. Goodwin Ave, 1210 Siebel Center","Ph.D. Candidate, Department of Computer Science"
midwest,data_science,Electrical Engineering and Computer Science,H,ds11,University of Michigan,Michigan,"Ann Arbor, MI","Ann Arbor, MI 48109","2260 Hayward St, 3903 Beyster","Ph.D. Candidate, Computer Science and Engineering"
