company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7
Walmart,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Geico,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Apple,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
ExxonMobil,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
McKesson,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
UnitedHealth Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
CVS Health,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
General Motors,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AT&T,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Ford Motor,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AmerisourceBergen,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Amazon,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
General Electric,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Verizon Communications,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Cardinal Health,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Costco,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Walgreens,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Kroger,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Chevron,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Fannie Mae,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
JP Morgan Chase,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Express Scripts Holding,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Home Depot,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Boeing,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Wells Fargo,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Bank of America,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Google,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Microsoft,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Anthem,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Citigroup,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Comcast,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
IBM,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
State Farm Insurance Cos ,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Phillips 66,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Johnson & Johnson,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Procter & Gamble,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Valero Energy,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Target,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Freddie Mac,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Lowe's,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Dell Technologies,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
MetLife,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Aetna,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
PepsiCo,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Archer Daniels Midland,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
UPS,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Intel,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Prudential Financial,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Albertsons Cos ,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
United Technologies,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Marathon Petroleum,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Disney,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Humana,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Pfizer,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AIG,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Lockheed Martin,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Sysco,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
FedEx,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
