company,job_type
Walmart,data_science
Geico,stats
Apple,data_science
Exxon Mobil,petroleum_geologist
McKesson,general
UnitedHealth Group,stats
CVS Health,data_science
General Motors,data_science
AT&T,data_science
Ford Motor,general
AmerisourceBergen,general
Amazon.com,data_science
General Electric,general
Verizon Communications,data_science
Cardinal Health,data_science
Costco,general
Walgreens,data_science
Kroger,general
Chevron,petroleum_geologist
Fannie Mae,quant
J.P. Morgan Chase,quant
Express Scripts Holding,general
Home Depot,general
Boeing,general
Wells Fargo,quant
Bank of America Corp.,quant
Google,data_science
Microsoft,data_science
Anthem,general
Citigroup,quant
Comcast,general
IBM,data_science
State Farm Insurance Cos.,stats
Phillips 66,petroleum_geologist
Johnson & Johnson,general
Procter & Gamble,general
Valero Energy,petroleum_geologist
Target,general
Freddie Mac,quant
Lowe's,general
Dell Technologies,data_science
MetLife,stats
Aetna,stats
PepsiCo,general
Archer Daniels Midland,general
UPS,general
Intel,data_science
Prudential Financial,quant
Albertsons Cos.,general
United Technologies,general
Marathon Petroleum,petroleum_geologist
Disney,general
Humana,stats
Pfizer,stats
AIG,stats
Lockheed Martin,general
Sysco,general
FedEx,general
Hewlett Packard Enterprise,general
Cisco Systems,general
HP,general
Dow Chemical,general
HCA Holdings,general
Coca-Cola,general
New York Life Insurance,stats
Centene,general
American Airlines Group,general
Nationwide,general
Merck,general
Cigna,general
Delta Air Lines,general
Best Buy,general
Honeywell International,general
Caterpillar,general
Liberty Mutual Insurance Group,stats
Morgan Stanley,quant
Massachusetts Mutual Life Insurance,stats
Goldman Sachs Group,quant
Energy Transfer Equity,petroleum_geologist
TIAA,quant
Oracle,data_science
Tyson Foods,general
United Continental Holdings,general
Allstate,stats
Publix Super Markets,general
American Express,quant
TJX,general
Nike,data_science
Exelon,general
General Dynamics,general
Rite Aid,general
Gilead Sciences,general
CHS,general
3M,general
Time Warner,general
Charter Communications,general
Northwestern Mutual,general
Facebook,data_science
Travelers Cos.,general
Capital One Financial,quant
Twenty-First Century Fox,general
USAA,quant
World Fuel Services,petroleum_geologist
Philip Morris International,general
Deere,general
Kraft Heinz,general
Avnet,general
Mondelez International,general
Macy's,general
AbbVie,general
McDonald's,general
DuPont,general
Northrop Grumman,general
ConocoPhillips,petroleum_geologist
Raytheon,general
Andeavor,general
Arrow Electronics,general
Qualcomm,general
Progressive,general
Duke Energy,petroleum_geologist
Enterprise Products Partners,general
Amgen,general
US Foods Holding,general
U.S. Bancorp,general
Aflac,general
Sears Holdings,general
Dollar General,general
AutoNation,general
Community Health Systems,general
Starbucks,general
Eli Lilly,general
International Paper,general
Tenet Healthcare,general
Abbott Laboratories,general
Dollar Tree,general
Whirlpool,general
Southwest Airlines,general
Emerson Electric,general
Staples,general
Plains GP Holdings,general
Penske Automotive Group,general
Union Pacific,general
Danaher,general
Southern,general
ManpowerGroup,general
Bristol-Myers Squibb,general
Altria Group,general
Fluor,general
Kohl's,general
Lear,general
Jabil,general
Hartford Financial Services Group,general
Thermo Fisher Scientific,general
Kimberly-Clark,general
Molina Healthcare,general
PG&E Corp.,general
Supervalu,general
Cummins,general
CenturyLink,general
AECOM,general
Xerox,data_science
