list_id,company,raw_company,rank,source,job_type
f1000_0,Walmart,Walmart,1,fortune1000,data_science
f1000_1,Berkshire Hathaway,Berkshire Hathaway,2,fortune1000,data_science
f1000_2,Apple,Apple,3,fortune1000,data_science
f1000_3,Exxon Mobil,Exxon Mobil,4,fortune1000,data_science
f1000_4,McKesson,McKesson,5,fortune1000,data_science
f1000_5,UnitedHealth Group,UnitedHealth Group,6,fortune1000,data_science
f1000_6,CVS Health,CVS Health,7,fortune1000,data_science
f1000_7,General Motors,General Motors,8,fortune1000,data_science
f1000_8,AT&T,AT&T,9,fortune1000,data_science
f1000_9,Ford Motor,Ford Motor,10,fortune1000,data_science
f1000_10,AmerisourceBergen,AmerisourceBergen,11,fortune1000,data_science
f1000_11,Amazon.com,Amazon.com,12,fortune1000,data_science
f1000_12,General Electric,General Electric,13,fortune1000,data_science
f1000_13,Verizon Communications,Verizon Communications,14,fortune1000,data_science
f1000_14,Cardinal Health,Cardinal Health,15,fortune1000,data_science
f1000_15,Costco,Costco,16,fortune1000,data_science
f1000_16,Walgreens Boots Alliance,Walgreens Boots Alliance,17,fortune1000,data_science
f1000_17,Kroger,Kroger,18,fortune1000,data_science
f1000_18,Chevron,Chevron,19,fortune1000,data_science
f1000_19,Fannie Mae,Fannie Mae,20,fortune1000,data_science
f1000_20,J.P. Morgan Chase,J.P. Morgan Chase,21,fortune1000,data_science
f1000_21,Express Scripts Holding,Express Scripts Holding,22,fortune1000,data_science
f1000_22,Home Depot,Home Depot,23,fortune1000,data_science
f1000_23,Boeing,Boeing,24,fortune1000,data_science
f1000_24,Wells Fargo,Wells Fargo,25,fortune1000,data_science
f1000_25,Bank of America Corp.,Bank of America Corp.,26,fortune1000,data_science
f1000_26,Alphabet,Alphabet,27,fortune1000,data_science
f1000_27,Microsoft,Microsoft,28,fortune1000,data_science
f1000_28,Anthem,Anthem,29,fortune1000,data_science
f1000_29,Citigroup,Citigroup,30,fortune1000,data_science
f1000_30,Comcast,Comcast,31,fortune1000,data_science
f1000_31,IBM,IBM,32,fortune1000,data_science
f1000_32,State Farm Insurance Cos.,State Farm Insurance Cos.,33,fortune1000,data_science
f1000_33,Phillips 66,Phillips 66,34,fortune1000,data_science
f1000_34,Johnson & Johnson,Johnson & Johnson,35,fortune1000,data_science
f1000_35,Procter & Gamble,Procter & Gamble,36,fortune1000,data_science
f1000_36,Valero Energy,Valero Energy,37,fortune1000,data_science
f1000_37,Target,Target,38,fortune1000,data_science
f1000_38,Freddie Mac,Freddie Mac,39,fortune1000,data_science
f1000_39,Lowe's,Lowe's,40,fortune1000,data_science
f1000_40,Dell Technologies,Dell Technologies,41,fortune1000,data_science
f1000_41,MetLife,MetLife,42,fortune1000,data_science
f1000_42,Aetna,Aetna,43,fortune1000,data_science
f1000_43,PepsiCo,PepsiCo,44,fortune1000,data_science
f1000_44,Archer Daniels Midland,Archer Daniels Midland,45,fortune1000,data_science
f1000_45,UPS,UPS,46,fortune1000,data_science
f1000_46,Intel,Intel,47,fortune1000,data_science
f1000_47,Prudential Financial,Prudential Financial,48,fortune1000,data_science
f1000_48,Albertsons Cos.,Albertsons Cos.,49,fortune1000,data_science
f1000_49,United Technologies,United Technologies,50,fortune1000,data_science
f1000_50,Marathon Petroleum,Marathon Petroleum,51,fortune1000,data_science
f1000_51,Disney,Disney,52,fortune1000,data_science
f1000_52,Humana,Humana,53,fortune1000,data_science
f1000_53,Pfizer,Pfizer,54,fortune1000,data_science
f1000_54,AIG,AIG,55,fortune1000,data_science
f1000_55,Lockheed Martin,Lockheed Martin,56,fortune1000,data_science
f1000_56,Sysco,Sysco,57,fortune1000,data_science
f1000_57,FedEx,FedEx,58,fortune1000,data_science
f1000_58,Hewlett Packard Enterprise,Hewlett Packard Enterprise,59,fortune1000,data_science
f1000_59,Cisco Systems,Cisco Systems,60,fortune1000,data_science
f1000_60,HP,HP,61,fortune1000,data_science
f1000_61,Dow Chemical,Dow Chemical,62,fortune1000,data_science
f1000_62,HCA Holdings,HCA Holdings,63,fortune1000,data_science
f1000_63,Coca-Cola,Coca-Cola,64,fortune1000,data_science
f1000_64,New York Life Insurance,New York Life Insurance,65,fortune1000,data_science
f1000_65,Centene,Centene,66,fortune1000,data_science
f1000_66,American Airlines Group,American Airlines Group,67,fortune1000,data_science
f1000_67,Nationwide,Nationwide,68,fortune1000,data_science
f1000_68,Merck,Merck,69,fortune1000,data_science
f1000_69,Cigna,Cigna,70,fortune1000,data_science
f1000_70,Delta Air Lines,Delta Air Lines,71,fortune1000,data_science
f1000_71,Best Buy,Best Buy,72,fortune1000,data_science
f1000_72,Honeywell International,Honeywell International,73,fortune1000,data_science
f1000_73,Caterpillar,Caterpillar,74,fortune1000,data_science
f1000_74,Liberty Mutual Insurance Group,Liberty Mutual Insurance Group,75,fortune1000,data_science
f1000_75,Morgan Stanley,Morgan Stanley,76,fortune1000,data_science
f1000_76,Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance,77,fortune1000,data_science
f1000_77,Goldman Sachs Group,Goldman Sachs Group,78,fortune1000,data_science
f1000_78,Energy Transfer Equity,Energy Transfer Equity,79,fortune1000,data_science
f1000_79,TIAA,TIAA,80,fortune1000,data_science
f1000_80,Oracle,Oracle,81,fortune1000,data_science
f1000_81,Tyson Foods,Tyson Foods,82,fortune1000,data_science
f1000_82,United Continental Holdings,United Continental Holdings,83,fortune1000,data_science
f1000_83,Allstate,Allstate,84,fortune1000,data_science
f1000_84,Publix Super Markets,Publix Super Markets,85,fortune1000,data_science
f1000_85,American Express,American Express,86,fortune1000,data_science
f1000_86,TJX,TJX,87,fortune1000,data_science
f1000_87,Nike,Nike,88,fortune1000,data_science
f1000_88,Exelon,Exelon,89,fortune1000,data_science
f1000_89,General Dynamics,General Dynamics,90,fortune1000,data_science
f1000_90,Rite Aid,Rite Aid,91,fortune1000,data_science
f1000_91,Gilead Sciences,Gilead Sciences,92,fortune1000,data_science
f1000_92,CHS,CHS,93,fortune1000,data_science
f1000_93,3M,3M,94,fortune1000,data_science
f1000_94,Time Warner,Time Warner,95,fortune1000,data_science
f1000_95,Charter Communications,Charter Communications,96,fortune1000,data_science
f1000_96,Northwestern Mutual,Northwestern Mutual,97,fortune1000,data_science
f1000_97,Facebook,Facebook,98,fortune1000,data_science
f1000_98,Travelers Cos.,Travelers Cos.,99,fortune1000,data_science
f1000_99,Capital One Financial,Capital One Financial,100,fortune1000,data_science
f1000_100,Twenty-First Century Fox,Twenty-First Century Fox,101,fortune1000,data_science
f1000_101,USAA,USAA,102,fortune1000,data_science
f1000_102,World Fuel Services,World Fuel Services,103,fortune1000,data_science
f1000_103,Philip Morris International,Philip Morris International,104,fortune1000,data_science
f1000_104,Deere,Deere,105,fortune1000,data_science
f1000_105,Kraft Heinz,Kraft Heinz,106,fortune1000,data_science
f1000_106,Tech Data,Tech Data,107,fortune1000,data_science
f1000_107,Avnet,Avnet,108,fortune1000,data_science
f1000_108,Mondelez International,Mondelez International,109,fortune1000,data_science
f1000_109,Macy's,Macy's,110,fortune1000,data_science
f1000_110,AbbVie,AbbVie,111,fortune1000,data_science
f1000_111,McDonald's,McDonald's,112,fortune1000,data_science
f1000_112,DuPont,DuPont,113,fortune1000,data_science
f1000_113,Northrop Grumman,Northrop Grumman,114,fortune1000,data_science
f1000_114,ConocoPhillips,ConocoPhillips,115,fortune1000,data_science
f1000_115,Raytheon,Raytheon,116,fortune1000,data_science
f1000_116,Andeavor,Andeavor,117,fortune1000,data_science
f1000_117,Arrow Electronics,Arrow Electronics,118,fortune1000,data_science
f1000_118,Qualcomm,Qualcomm,119,fortune1000,data_science
f1000_119,Progressive,Progressive,120,fortune1000,data_science
f1000_120,Duke Energy,Duke Energy,121,fortune1000,data_science
f1000_121,Enterprise Products Partners,Enterprise Products Partners,122,fortune1000,data_science
f1000_122,Amgen,Amgen,123,fortune1000,data_science
f1000_123,US Foods Holding,US Foods Holding,124,fortune1000,data_science
f1000_124,U.S. Bancorp,U.S. Bancorp,125,fortune1000,data_science
f1000_125,Aflac,Aflac,126,fortune1000,data_science
f1000_126,Sears Holdings,Sears Holdings,127,fortune1000,data_science
f1000_127,Dollar General,Dollar General,128,fortune1000,data_science
f1000_128,AutoNation,AutoNation,129,fortune1000,data_science
f1000_129,Community Health Systems,Community Health Systems,130,fortune1000,data_science
f1000_130,Starbucks,Starbucks,131,fortune1000,data_science
f1000_131,Eli Lilly,Eli Lilly,132,fortune1000,data_science
f1000_132,International Paper,International Paper,133,fortune1000,data_science
f1000_133,Tenet Healthcare,Tenet Healthcare,134,fortune1000,data_science
f1000_134,Abbott Laboratories,Abbott Laboratories,135,fortune1000,data_science
f1000_135,Dollar Tree,Dollar Tree,136,fortune1000,data_science
f1000_136,Whirlpool,Whirlpool,137,fortune1000,data_science
f1000_137,Southwest Airlines,Southwest Airlines,138,fortune1000,data_science
f1000_138,Emerson Electric,Emerson Electric,139,fortune1000,data_science
f1000_139,Staples,Staples,140,fortune1000,data_science
f1000_140,Plains GP Holdings,Plains GP Holdings,141,fortune1000,data_science
f1000_141,Penske Automotive Group,Penske Automotive Group,142,fortune1000,data_science
f1000_142,Union Pacific,Union Pacific,143,fortune1000,data_science
f1000_143,Danaher,Danaher,144,fortune1000,data_science
f1000_144,Southern,Southern,145,fortune1000,data_science
f1000_145,ManpowerGroup,ManpowerGroup,146,fortune1000,data_science
f1000_146,Bristol-Myers Squibb,Bristol-Myers Squibb,147,fortune1000,data_science
f1000_147,Altria Group,Altria Group,148,fortune1000,data_science
f1000_148,Fluor,Fluor,149,fortune1000,data_science
f1000_149,Kohl's,Kohl's,150,fortune1000,data_science
f1000_150,Lear,Lear,151,fortune1000,data_science
f1000_151,Jabil,Jabil,152,fortune1000,data_science
f1000_152,Hartford Financial Services Group,Hartford Financial Services Group,153,fortune1000,data_science
f1000_153,Thermo Fisher Scientific,Thermo Fisher Scientific,154,fortune1000,data_science
f1000_154,Kimberly-Clark,Kimberly-Clark,155,fortune1000,data_science
f1000_155,Molina Healthcare,Molina Healthcare,156,fortune1000,data_science
f1000_156,PG&E Corp.,PG&E Corp.,157,fortune1000,data_science
f1000_157,Supervalu,Supervalu,158,fortune1000,data_science
f1000_158,Cummins,Cummins,159,fortune1000,data_science
f1000_159,CenturyLink,CenturyLink,160,fortune1000,data_science
f1000_160,AECOM,AECOM,161,fortune1000,data_science
f1000_161,Xerox,Xerox,162,fortune1000,data_science
f1000_162,Marriott International,Marriott International,163,fortune1000,data_science
f1000_163,Paccar,Paccar,164,fortune1000,data_science
f1000_164,General Mills,General Mills,165,fortune1000,data_science
f1000_165,PNC Financial Services Group,PNC Financial Services Group,166,fortune1000,data_science
f1000_166,American Electric Power,American Electric Power,167,fortune1000,data_science
f1000_167,Icahn Enterprises,Icahn Enterprises,168,fortune1000,data_science
f1000_168,Nucor,Nucor,169,fortune1000,data_science
f1000_169,NextEra Energy,NextEra Energy,170,fortune1000,data_science
f1000_170,Performance Food Group,Performance Food Group,171,fortune1000,data_science
f1000_171,PBF Energy,PBF Energy,172,fortune1000,data_science
f1000_172,Halliburton,Halliburton,173,fortune1000,data_science
f1000_173,CarMax,CarMax,174,fortune1000,data_science
f1000_174,Freeport-McMoRan,Freeport-McMoRan,175,fortune1000,data_science
f1000_175,Whole Foods Market,Whole Foods Market,176,fortune1000,data_science
f1000_176,Bank of New York Mellon,Bank of New York Mellon,177,fortune1000,data_science
f1000_177,Gap,Gap,178,fortune1000,data_science
f1000_178,Omnicom Group,Omnicom Group,179,fortune1000,data_science
f1000_179,Genuine Parts,Genuine Parts,180,fortune1000,data_science
f1000_180,DaVita,DaVita,181,fortune1000,data_science
f1000_181,Colgate-Palmolive,Colgate-Palmolive,182,fortune1000,data_science
f1000_182,PPG Industries,PPG Industries,183,fortune1000,data_science
f1000_183,Goodyear Tire & Rubber,Goodyear Tire & Rubber,184,fortune1000,data_science
f1000_184,Synchrony Financial,Synchrony Financial,185,fortune1000,data_science
f1000_185,DISH Network,DISH Network,186,fortune1000,data_science
f1000_186,Visa,Visa,187,fortune1000,data_science
f1000_187,Nordstrom,Nordstrom,188,fortune1000,data_science
f1000_188,INTL FCStone,INTL FCStone,189,fortune1000,data_science
f1000_189,WestRock,WestRock,190,fortune1000,data_science
f1000_190,XPO Logistics,XPO Logistics,191,fortune1000,data_science
f1000_191,Aramark,Aramark,192,fortune1000,data_science
f1000_192,CBS,CBS,193,fortune1000,data_science
f1000_193,AES,AES,194,fortune1000,data_science
f1000_194,WellCare Health Plans,WellCare Health Plans,195,fortune1000,data_science
f1000_195,FirstEnergy,FirstEnergy,196,fortune1000,data_science
f1000_196,Conagra Brands,Conagra Brands,197,fortune1000,data_science
f1000_197,Synnex,Synnex,198,fortune1000,data_science
f1000_198,CDW,CDW,199,fortune1000,data_science
f1000_199,Textron,Textron,200,fortune1000,data_science
f1000_200,Waste Management,Waste Management,201,fortune1000,data_science
f1000_201,Illinois Tool Works,Illinois Tool Works,202,fortune1000,data_science
f1000_202,Office Depot,Office Depot,203,fortune1000,data_science
f1000_203,Monsanto,Monsanto,204,fortune1000,data_science
f1000_204,Cognizant Technology Solutions,Cognizant Technology Solutions,205,fortune1000,data_science
f1000_205,Texas Instruments,Texas Instruments,206,fortune1000,data_science
f1000_206,Lincoln National,Lincoln National,207,fortune1000,data_science
f1000_207,Newell Brands,Newell Brands,208,fortune1000,data_science
f1000_208,Land O'Lakes,Land O'Lakes,209,fortune1000,data_science
f1000_209,Marsh & McLennan,Marsh & McLennan,210,fortune1000,data_science
f1000_210,Ecolab,Ecolab,211,fortune1000,data_science
f1000_211,C.H. Robinson Worldwide,C.H. Robinson Worldwide,212,fortune1000,data_science
f1000_212,Loews,Loews,213,fortune1000,data_science
f1000_213,CBRE Group,CBRE Group,214,fortune1000,data_science
f1000_214,Kinder Morgan,Kinder Morgan,215,fortune1000,data_science
f1000_215,Kellogg,Kellogg,216,fortune1000,data_science
f1000_216,Western Digital,Western Digital,217,fortune1000,data_science
f1000_217,Guardian Life Ins. Co. of America,Guardian Life Ins. Co. of America,218,fortune1000,data_science
f1000_218,Ross Stores,Ross Stores,219,fortune1000,data_science
f1000_219,L Brands,L Brands,220,fortune1000,data_science
f1000_220,J.C. Penney,J.C. Penney,221,fortune1000,data_science
f1000_221,Farmers Insurance Exchange,Farmers Insurance Exchange,222,fortune1000,data_science
f1000_222,Reynolds American,Reynolds American,223,fortune1000,data_science
f1000_223,Viacom,Viacom,224,fortune1000,data_science
f1000_224,Becton Dickinson,Becton Dickinson,225,fortune1000,data_science
f1000_225,Micron Technology,Micron Technology,226,fortune1000,data_science
f1000_226,Principal Financial,Principal Financial,227,fortune1000,data_science
f1000_227,Arconic,Arconic,228,fortune1000,data_science
f1000_228,NRG Energy,NRG Energy,229,fortune1000,data_science
f1000_229,VF,VF,230,fortune1000,data_science
f1000_230,Devon Energy,Devon Energy,231,fortune1000,data_science
f1000_231,D.R. Horton,D.R. Horton,232,fortune1000,data_science
f1000_232,Bed Bath & Beyond,Bed Bath & Beyond,233,fortune1000,data_science
f1000_233,Consolidated Edison,Consolidated Edison,234,fortune1000,data_science
f1000_234,Edison International,Edison International,235,fortune1000,data_science
f1000_235,Sherwin-Williams,Sherwin-Williams,236,fortune1000,data_science
f1000_236,NGL Energy Partners,NGL Energy Partners,237,fortune1000,data_science
f1000_237,Dominion Energy,Dominion Energy,238,fortune1000,data_science
f1000_238,Ameriprise Financial,Ameriprise Financial,239,fortune1000,data_science
f1000_239,ADP,ADP,240,fortune1000,data_science
f1000_240,Hilton Worldwide Holdings,Hilton Worldwide Holdings,241,fortune1000,data_science
f1000_241,First Data,First Data,242,fortune1000,data_science
f1000_242,Henry Schein,Henry Schein,243,fortune1000,data_science
f1000_243,Toys 'R' Us,Toys 'R' Us,244,fortune1000,data_science
f1000_244,BB&T Corp.,BB&T Corp.,245,fortune1000,data_science
f1000_245,Reinsurance Group of America,Reinsurance Group of America,246,fortune1000,data_science
f1000_246,Core-Mark Holding,Core-Mark Holding,247,fortune1000,data_science
f1000_247,Biogen,Biogen,248,fortune1000,data_science
f1000_248,Las Vegas Sands,Las Vegas Sands,249,fortune1000,data_science
