list_id,company,raw_company,rank,source,job_type
hedge_0,Bridgewater Associates,Bridgewater Associates,1,hedge_fund_100,quant
hedge_1,AQR Capital Management,AQR Capital Management,2,hedge_fund_100,quant
hedge_2,J.P. Morgan Asset Management,J.P. Morgan Asset Management,3,hedge_fund_100,quant
hedge_3,Renaissance Technologies,Renaissance Technologies,4,hedge_fund_100,quant
hedge_4,Two Sigma,Two Sigma,5,hedge_fund_100,quant
hedge_5,D. E. Shaw & Co.,D. E. Shaw & Co.,6,hedge_fund_100,quant
hedge_6,Millennium Management,Millennium Management,7,hedge_fund_100,quant
hedge_7,Man Group,Man Group,8,hedge_fund_100,quant
hedge_8,Och-Ziff Capital Management Group,Och-Ziff Capital Management Group,9,hedge_fund_100,quant
hedge_9,Winton Group,Winton Group,10,hedge_fund_100,quant
hedge_10,Elliott Management Corp.,Elliott Management Corp.,11,hedge_fund_100,quant
hedge_11,Baupost Group,Baupost Group,12,hedge_fund_100,quant
hedge_12,Adage Capital Management,Adage Capital Management,13,hedge_fund_100,quant
hedge_13,Viking Global Investors,Viking Global Investors,14,hedge_fund_100,quant
hedge_14,BlackRock,BlackRock,15,hedge_fund_100,quant
hedge_15,Davidson Kempner Capital Management,Davidson Kempner Capital Management,16,hedge_fund_100,quant
hedge_16,Citadel,Citadel,17,hedge_fund_100,quant
hedge_17,Marshall Wace,Marshall Wace,18,hedge_fund_100,quant
hedge_18,Lone Pine Capital,Lone Pine Capital,19,hedge_fund_100,quant
hedge_19,Credit Suisse Asset Management,Credit Suisse Asset Management,20,hedge_fund_100,quant
hedge_20,Farallon Capital Management,Farallon Capital Management,21,hedge_fund_100,quant
hedge_21,GAM Holding,GAM Holding,22,hedge_fund_100,quant
hedge_22,King Street Capital Management,King Street Capital Management,23,hedge_fund_100,quant
hedge_23,Platinum Asset Management,Platinum Asset Management,24,hedge_fund_100,quant
hedge_24,Hillhouse Capital Management,Hillhouse Capital Management,25,hedge_fund_100,quant
