list_id,company,raw_company,rank,source,job_type
nasdaq_MSFT,Microsoft Corporation,Microsoft Corporation,1.0,nasdaq_tech,data_science_b
nasdaq_GOOG,Alphabet,Alphabet Inc.,2.0,nasdaq_tech,data_science_b
nasdaq_AAPL,Apple,Apple Inc.,3.0,nasdaq_tech,data_science_b
nasdaq_FB,Facebook,"Facebook, Inc.",4.0,nasdaq_tech,data_science_b
nasdaq_INTC,Intel Corporation,Intel Corporation,5.0,nasdaq_tech,data_science_b
nasdaq_CSCO,Cisco Systems,"Cisco Systems, Inc.",6.0,nasdaq_tech,data_science_b
nasdaq_TSM,Taiwan Semiconductor Manufacturing Company,Taiwan Semiconductor Manufacturing Company Ltd.,7.0,nasdaq_tech,data_science_b
nasdaq_ORCL,Oracle Corporation,Oracle Corporation,8.0,nasdaq_tech,data_science_b
nasdaq_SAP,SAP SE,SAP SE,9.0,nasdaq_tech,data_science_b
nasdaq_ADBE,Adobe,Adobe Inc.,10.0,nasdaq_tech,data_science_b
nasdaq_CRM,Salesforce.com Inc,Salesforce.com Inc,11.0,nasdaq_tech,data_science_b
nasdaq_IBM,International Business Machines Corporation,International Business Machines Corporation,12.0,nasdaq_tech,data_science_b
nasdaq_AVGO,Broadcom,Broadcom Inc.,13.0,nasdaq_tech,data_science_b
nasdaq_TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,14.0,nasdaq_tech,data_science_b
nasdaq_NVDA,NVIDIA Corporation,NVIDIA Corporation,15.0,nasdaq_tech,data_science_b
nasdaq_QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,16.0,nasdaq_tech,data_science_b
nasdaq_VMW,Vmware,"Vmware, Inc.",17.0,nasdaq_tech,data_science_b
nasdaq_ADP,Automatic Data Processing,"Automatic Data Processing, Inc.",18.0,nasdaq_tech,data_science_b
nasdaq_INTU,Intuit,Intuit Inc.,19.0,nasdaq_tech,data_science_b
nasdaq_BIDU,Baidu,"Baidu, Inc.",20.0,nasdaq_tech,data_science_b
