list_id,company,rank,source,job_type
vault_0,"Cravath, Swaine & Moore LLP",1,vault-law-100,law
vault_1,"Wachtell, Lipton, Rosen & Katz",2,vault-law-100,law
vault_2,"Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",3,vault-law-100,law
vault_3,Sullivan & Cromwell LLP,4,vault-law-100,law
vault_4,Latham & Watkins LLP,5,vault-law-100,law
vault_5,Davis Polk & Wardwell LLP,6,vault-law-100,law
vault_6,Simpson Thacher & Bartlett LLP,7,vault-law-100,law
vault_7,Kirkland & Ellis LLP,8,vault-law-100,law
vault_8,"Gibson, Dunn & Crutcher LLP",9,vault-law-100,law
vault_9,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",10,vault-law-100,law
vault_10,"Weil, Gotshal & Manges LLP",11,vault-law-100,law
vault_11,"Quinn Emanuel Urquhart & Sullivan, LLP",12,vault-law-100,law
vault_12,Sidley Austin LLP,13,vault-law-100,law
vault_13,Cleary Gottlieb Steen & Hamilton LLP,14,vault-law-100,law
vault_14,Covington & Burling LLP,15,vault-law-100,law
vault_15,Jones Day,16,vault-law-100,law
vault_16,Williams & Connolly LLP,17,vault-law-100,law
vault_17,Debevoise & Plimpton LLP,18,vault-law-100,law
vault_18,White & Case LLP,19,vault-law-100,law
vault_19,WilmerHale,20,vault-law-100,law
vault_20,Ropes & Gray LLP,21,vault-law-100,law
vault_21,Paul Hastings LLP,22,vault-law-100,law
vault_22,Boies Schiller Flexner LLP,23,vault-law-100,law
vault_23,Morrison & Foerster LLP,24,vault-law-100,law
vault_24,Hogan Lovells US LLP,25,vault-law-100,law
vault_25,O'Melveny & Myers LLP,26,vault-law-100,law
vault_26,Cooley LLP,27,vault-law-100,law
vault_27,Proskauer Rose LLP,28,vault-law-100,law
vault_28,Akin Gump Strauss Hauer & Feld LLP,29,vault-law-100,law
vault_29,Arnold & Porter Kaye Scholer LLP,30,vault-law-100,law
vault_30,Baker McKenzie,31,vault-law-100,law
vault_31,Mayer Brown LLP,32,vault-law-100,law
vault_32,DLA Piper,33,vault-law-100,law
vault_33,K&L Gates LLP,34,vault-law-100,law
vault_34,Clifford Chance US LLP,35,vault-law-100,law
vault_35,Linklaters LLP,36,vault-law-100,law
vault_36,"Munger, Tolles & Olson LLP",37,vault-law-100,law
vault_37,"Orrick, Herrington & Sutcliffe LLP",38,vault-law-100,law
vault_38,Wilson Sonsini Goodrich & Rosati,39,vault-law-100,law
vault_39,"Milbank, Tweed, Hadley & McCloy LLP",40,vault-law-100,law
vault_40,Shearman & Sterling LLP,41,vault-law-100,law
vault_41,"Morgan, Lewis & Bockius LLP",42,vault-law-100,law
vault_42,King & Spalding LLP,43,vault-law-100,law
vault_43,Baker Botts LLP,44,vault-law-100,law
vault_44,Goodwin Procter LLP,45,vault-law-100,law
vault_45,Allen & Overy LLP,46,vault-law-100,law
vault_46,Winston & Strawn LLP,47,vault-law-100,law
vault_47,"Cadwalader, Wickersham & Taft LLP",48,vault-law-100,law
vault_48,"Fried, Frank, Harris, Shriver & Jacobson LLP",49,vault-law-100,law
vault_49,Perkins Coie LLP,50,vault-law-100,law
vault_50,Willkie Farr & Gallagher LLP,51,vault-law-100,law
vault_51,Dechert LLP,52,vault-law-100,law
vault_52,"Greenberg Traurig, LLP",53,vault-law-100,law
vault_53,Alston & Bird LLP,54,vault-law-100,law
vault_54,Jenner & Block LLP,55,vault-law-100,law
vault_55,Freshfields Bruckhaus Deringer LLP,56,vault-law-100,law
vault_56,McDermott Will & Emery LLP,57,vault-law-100,law
vault_57,Cahill Gordon & Reindel LLP,58,vault-law-100,law
vault_58,Holland & Knight LLP,59,vault-law-100,law
vault_59,Dentons,60,vault-law-100,law
vault_60,Susman Godfrey LLP,61,vault-law-100,law
vault_61,Pillsbury Winthrop Shaw Pittman LLP,62,vault-law-100,law
vault_62,Reed Smith LLP,63,vault-law-100,law
vault_63,Baker & Hostetler LLP,64,vault-law-100,law
vault_64,Vinson & Elkins LLP,65,vault-law-100,law
vault_65,Norton Rose Fulbright,66,vault-law-100,law
vault_66,Irell & Manella LLP,67,vault-law-100,law
vault_67,Nixon Peabody LLP,68,vault-law-100,law
vault_68,Crowell & Moring LLP,69,vault-law-100,law
vault_69,Fish & Richardson P.C.,70,vault-law-100,law
vault_70,Venable LLP,71,vault-law-100,law
vault_71,Steptoe & Johnson LLP,72,vault-law-100,law
vault_72,Bryan Cave Leighton Paisner LLP,73,vault-law-100,law
vault_73,Squire Patton Boggs,74,vault-law-100,law
vault_74,Foley & Lardner LLP,75,vault-law-100,law
vault_75,"Sheppard, Mullin, Richter & Hampton LLP",76,vault-law-100,law
vault_76,McGuireWoods LLP,77,vault-law-100,law
vault_77,Locke Lord LLP,78,vault-law-100,law
vault_78,Fenwick & West LLP,79,vault-law-100,law
vault_79,Arent Fox LLP,80,vault-law-100,law
vault_80,Hunton Andrews Kurth LLP,81,vault-law-100,law
vault_81,Katten Muchin Rosenman LLP,82,vault-law-100,law
vault_82,Schulte Roth & Zabel LLP,83,vault-law-100,law
vault_83,Seyfarth Shaw LLP,84,vault-law-100,law
vault_84,Pepper Hamilton LLP,85,vault-law-100,law
vault_85,Hughes Hubbard & Reed LLP,86,vault-law-100,law
vault_86,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",87,vault-law-100,law
