company,rank
Bridgewater Associates,1
AQR Capital Management,2
J.P. Morgan Asset Management,3
Renaissance Technologies,4
Two Sigma,5
D. E. Shaw & Co.,6
Millennium Management,7
Man Group,8
Och-Ziff Capital Management Group,9
Winton Group,10
Elliott Management Corp.,11
Baupost Group,12
Adage Capital Management,13
Viking Global Investors,14
BlackRock,15
Davidson Kempner Capital Management,16
Citadel,17
Marshall Wace,18
Lone Pine Capital,19
Credit Suisse Asset Management,20
Farallon Capital Management,21
GAM Holding,22
King Street Capital Management,23
Platinum Asset Management,24
Hillhouse Capital Management,25
ValueAct Capital Management,26
Pacific Investment Management Co.,27
Anchorage Capital Group,28
York Capital Management,29
Appaloosa Management,30
Canyon Partners,31
Third Point,32
Egerton Capital (UK),33
Brevan Howard Capital Management,34
Centerbridge Partners,35
BlueMountain Capital Management,36
Cevian Capital,37
Brummer & Partners,38
Wellington Alternative Investments,39
Moore Capital Management,40
Fortress Investment Group,41
Trian Fund Management,42
Value Partners,43
Goldman Sachs Asset Management,44
Graham Capital Management,44
Capula Investment Management,46
TCI Fund Management,47
Balyasny Asset Management,48
Henderson AlphaGen,49
Highfields Capital Management,50
CQS,51
GoldenTree Asset Management,52
GSO Capital Partners,53
Pershing Square Capital Management,54
Beach Point Capital Management,55
"Angelo, Gordon & Co.",56
Lansdowne Partners (UK),57
Bracebridge Capital,58
Discovery Capital Management,59
PointState Capital,60
Magnetar Capital,61
Nephila Capital,62
CarVal Investors,63
HBK Capital Management,64
Tudor Investment Corp.,65
Fir Tree Partners,66
Carlson Capital,67
Glenview Capital Management,67
Paulson & Co.,69
Tiger Global Management,70
Marathon Asset Management,71
Soroban Capital Partners,71
Element Capital Management,73
Maverick Capital,73
Coatue Management,75
"Grantham, Mayo, Van Otterloo",76
Cerberus Capital Management,77
Senator Investment Group,78
Systematica Investments,79
Greenlight Capital,80
Caxton Associates,81
Lazard Asset Management,82
Candriam Investors Group,83
Pictet Asset Management,84
Silver Point Capital,85
Odey Asset Management,86
Capital Fund Management,87
Eton Park Capital Management,88
Blue Ridge Capital Holdings,89
GSA Capital Partners,90
Eminence Capital,91
Pine River Capital Management,92
MKP Capital Management,93
Taconic Capital Advisors,94
Arrowgrass Capital Partners,95
JANA Partners,96
Scopia Capital,97
Redwood Capital Management,98
Dymon Asia,99
Indus Capital Partners,99
Paloma International,99
