company,rank,source,job_type
Credit Karma,21,business_insider25,data_science
Wish,21,business_insider25,data_science
Houzz,21,business_insider25,data_science
DoorDash,21,business_insider25,data_science
Snowflake,21,business_insider25,data_science
Intarcia Therapeutics,20,business_insider25,data_science
Peloton,19,business_insider25,data_science
SoFi,17,business_insider25,data_science
Compass,17,business_insider25,data_science
Machine Zone,16,business_insider25,data_science
Robinhood,15,business_insider25,data_science
Magic Leap,14,business_insider25,data_science
Tanium,13,business_insider25,data_science
Moderna Therapeutics,12,business_insider25,data_science
Slack,11,business_insider25,data_science
Instacart,10,business_insider25,data_science
Pinterest,9,business_insider25,data_science
Samumed,8,business_insider25,data_science
Lyft,7,business_insider25,data_science
Stripe,6,business_insider25,data_science
Palantir,5,business_insider25,data_science
WeWork,4,business_insider25,data_science
SpaceX,3,business_insider25,data_science
Airbnb,2,business_insider25,data_science
Uber,1,business_insider25,data_science
