company,rank
SpaceX,1
Uber,2
Airbnb,3
Didi Chuxing,4
Lyft,5
Grab,6
23andMe,7
Udacity,8
Rent the Runway,9
Coinbase,10
TransferWise,11
Oscar Health,12
Payoneer,13
SurveyMonkey,14
Progyny,15
Adyen,16
TheRealReal,17
Indigo Agriculture,18
Ezetap,19
Peloton,20
Ginkgo Bioworks,21
LISNR,22
WeWork,23
Ellevest,24
Zipline International,25
LanzaTech,26
Crowdstrike,27
Xiaomi,28
Flirtey,29
Veritas Genetics,30
Houzz,31
C3 IoT,32
Palantir Technologies,33
Darktrace,34
Duolingo,35
Pinterest,36
Thinx,37
Robinhood,38
Uptake,39
Drawbridge,40
InMobi,41
Coursera,42
Stripe,43
Illumio,44
Fanatics,45
Auris Health,46
Luminar,47
Apeel Sciences,48
GitHub,49
SoFi,50
