company,rank,source,job_type
Walmart,1,,
Berkshire Hathaway,2,,
Apple,3,,
Exxon Mobil,4,,
McKesson,5,,
UnitedHealth Group,6,,
CVS Health,7,,
General Motors,8,,
AT&T,9,,
Ford Motor,10,,
AmerisourceBergen,11,,
Amazon.com,12,,
General Electric,13,,
Verizon Communications,14,,
Cardinal Health,15,,
Costco,16,,
Walgreens Boots Alliance,17,,
Kroger,18,,
Chevron,19,,
Fannie Mae,20,,
J.P. Morgan Chase,21,,
Express Scripts Holding,22,,
Home Depot,23,,
Boeing,24,,
Wells Fargo,25,,
Bank of America Corp.,26,,
Alphabet,27,,
Microsoft,28,,
Anthem,29,,
Citigroup,30,,
Comcast,31,,
IBM,32,,
State Farm Insurance Cos.,33,,
Phillips 66,34,,
Johnson & Johnson,35,,
Procter & Gamble,36,,
Valero Energy,37,,
Target,38,,
Freddie Mac,39,,
Lowe's,40,,
Dell Technologies,41,,
MetLife,42,,
Aetna,43,,
PepsiCo,44,,
Archer Daniels Midland,45,,
UPS,46,,
Intel,47,,
Prudential Financial,48,,
Albertsons Cos.,49,,
United Technologies,50,,
Marathon Petroleum,51,,
Disney,52,,
Humana,53,,
Pfizer,54,,
AIG,55,,
Lockheed Martin,56,,
Sysco,57,,
FedEx,58,,
Hewlett Packard Enterprise,59,,
Cisco Systems,60,,
HP,61,,
Dow Chemical,62,,
HCA Holdings,63,,
Coca-Cola,64,,
New York Life Insurance,65,,
Centene,66,,
American Airlines Group,67,,
Nationwide,68,,
Merck,69,,
Cigna,70,,
Delta Air Lines,71,,
Best Buy,72,,
Honeywell International,73,,
Caterpillar,74,,
Liberty Mutual Insurance Group,75,,
Morgan Stanley,76,,
Massachusetts Mutual Life Insurance,77,,
Goldman Sachs Group,78,,
Energy Transfer Equity,79,,
TIAA,80,,
Oracle,81,,
Tyson Foods,82,,
United Continental Holdings,83,,
Allstate,84,,
Publix Super Markets,85,,
American Express,86,,
TJX,87,,
Nike,88,,
Exelon,89,,
General Dynamics,90,,
Rite Aid,91,,
Gilead Sciences,92,,
CHS,93,,
3M,94,,
Time Warner,95,,
Charter Communications,96,,
Northwestern Mutual,97,,
Facebook,98,,
Travelers Cos.,99,,
Capital One Financial,100,,
Twenty-First Century Fox,101,,
USAA,102,,
World Fuel Services,103,,
Philip Morris International,104,,
Deere,105,,
Kraft Heinz,106,,
Tech Data,107,,
Avnet,108,,
Mondelez International,109,,
Macy's,110,,
AbbVie,111,,
McDonald's,112,,
DuPont,113,,
Northrop Grumman,114,,
ConocoPhillips,115,,
Raytheon,116,,
Andeavor,117,,
Arrow Electronics,118,,
Qualcomm,119,,
Progressive,120,,
Duke Energy,121,,
Enterprise Products Partners,122,,
Amgen,123,,
US Foods Holding,124,,
U.S. Bancorp,125,,
Aflac,126,,
Sears Holdings,127,,
Dollar General,128,,
AutoNation,129,,
Community Health Systems,130,,
Starbucks,131,,
Eli Lilly,132,,
International Paper,133,,
Tenet Healthcare,134,,
Abbott Laboratories,135,,
Dollar Tree,136,,
Whirlpool,137,,
Southwest Airlines,138,,
Emerson Electric,139,,
Staples,140,,
Plains GP Holdings,141,,
Penske Automotive Group,142,,
Union Pacific,143,,
Danaher,144,,
Southern,145,,
ManpowerGroup,146,,
Bristol-Myers Squibb,147,,
Altria Group,148,,
Fluor,149,,
Kohl's,150,,
Lear,151,,
Jabil,152,,
Hartford Financial Services Group,153,,
Thermo Fisher Scientific,154,,
Kimberly-Clark,155,,
Molina Healthcare,156,,
PG&E Corp.,157,,
Supervalu,158,,
Cummins,159,,
CenturyLink,160,,
AECOM,161,,
Xerox,162,,
Marriott International,163,,
Paccar,164,,
General Mills,165,,
PNC Financial Services Group,166,,
American Electric Power,167,,
Icahn Enterprises,168,,
Nucor,169,,
NextEra Energy,170,,
Performance Food Group,171,,
PBF Energy,172,,
Halliburton,173,,
CarMax,174,,
Freeport-McMoRan,175,,
Whole Foods Market,176,,
Bank of New York Mellon,177,,
Gap,178,,
Omnicom Group,179,,
Genuine Parts,180,,
DaVita,181,,
Colgate-Palmolive,182,,
PPG Industries,183,,
Goodyear Tire & Rubber,184,,
Synchrony Financial,185,,
DISH Network,186,,
Visa,187,,
Nordstrom,188,,
INTL FCStone,189,,
WestRock,190,,
XPO Logistics,191,,
Aramark,192,,
CBS,193,,
AES,194,,
WellCare Health Plans,195,,
FirstEnergy,196,,
Conagra Brands,197,,
Synnex,198,,
CDW,199,,
Textron,200,,
Waste Management,201,,
Illinois Tool Works,202,,
Office Depot,203,,
Monsanto,204,,
Cognizant Technology Solutions,205,,
Texas Instruments,206,,
Lincoln National,207,,
Newell Brands,208,,
Land O'Lakes,209,,
Marsh & McLennan,210,,
Ecolab,211,,
C.H. Robinson Worldwide,212,,
Loews,213,,
CBRE Group,214,,
Kinder Morgan,215,,
Kellogg,216,,
Western Digital,217,,
Guardian Life Ins. Co. of America,218,,
Ross Stores,219,,
L Brands,220,,
J.C. Penney,221,,
Farmers Insurance Exchange,222,,
Reynolds American,223,,
Viacom,224,,
Becton Dickinson,225,,
Micron Technology,226,,
Principal Financial,227,,
Arconic,228,,
NRG Energy,229,,
VF,230,,
Devon Energy,231,,
D.R. Horton,232,,
Bed Bath & Beyond,233,,
Consolidated Edison,234,,
Edison International,235,,
Sherwin-Williams,236,,
NGL Energy Partners,237,,
Dominion Energy,238,,
Ameriprise Financial,239,,
ADP,240,,
Hilton Worldwide Holdings,241,,
First Data,242,,
Henry Schein,243,,
Toys 'R' Us,244,,
BB&T Corp.,245,,
Reinsurance Group of America,246,,
Core-Mark Holding,247,,
Biogen,248,,
Las Vegas Sands,249,,
Stanley Black & Decker,250,,
Parker-Hannifin,251,,
Stryker,252,,
Estee Lauder,253,,
Celgene,254,,
BlackRock,255,,
Xcel Energy,256,,
CSX,257,,
Unum Group,258,,
Jacobs Engineering Group,259,,
Lennar,260,,
Group 1 Automotive,261,,
Leucadia National,262,,
Entergy,263,,
PayPal Holdings,264,,
Applied Materials,265,,
Voya Financial,266,,
Mastercard,267,,
Priceline Group,268,,
Liberty Interactive,269,,
AutoZone,270,,
State Street Corp.,271,,
DTE Energy,272,,
L3 Technologies,273,,
HollyFrontier,274,,
Praxair,275,,
Universal Health Services,276,,
Discover Financial Services,277,,
Occidental Petroleum,278,,
United States Steel,279,,
Sempra Energy,280,,
Baxter International,281,,
W.W. Grainger,282,,
Autoliv,283,,
Norfolk Southern,284,,
Baker Hughes,285,,
Ally Financial,286,,
Sonic Automotive,287,,
Owens & Minor,288,,
Huntsman,289,,
Laboratory Corp. of America,290,,
Murphy USA,291,,
Advance Auto Parts,292,,
Fidelity National Financial,293,,
Air Products & Chemicals,294,,
Hormel Foods,295,,
Hertz Global Holdings,296,,
MGM Resorts International,297,,
Corning,298,,
Republic Services,299,,
Alcoa,300,,
Fidelity National Information Services,301,,
Pacific Life,302,,
SunTrust Banks,303,,
LKQ,304,,
BorgWarner,305,,
Ball,306,,
CST Brands,307,,
Public Service Enterprise Group,308,,
Eastman Chemical,309,,
eBay,310,,
Mohawk Industries,311,,
Oneok,312,,
Frontier Communications,313,,
Netflix,314,,
American Family Insurance Group,315,,
Thrivent Financial for Lutherans,316,,
Expedia,317,,
Lithia Motors,318,,
Avis Budget Group,319,,
Reliance Steel & Aluminum,320,,
GameStop,321,,
Tenneco,322,,
O'Reilly Automotive,323,,
Peter Kiewit Sons',324,,
United Natural Foods,325,,
salesforce.com,326,,
Boston Scientific,327,,
Newmont Mining,328,,
Genworth Financial,329,,
Live Nation Entertainment,330,,
Veritiv,331,,
News Corp.,332,,
Crown Holdings,333,,
Global Partners,334,,
PVH,335,,
Level 3 Communications,336,,
Navistar International,337,,
Univar,338,,
Campbell Soup,339,,
Dick's Sporting Goods,340,,
Weyerhaeuser,341,,
Mutual of Omaha Insurance,342,,
Chesapeake Energy,343,,
Anadarko Petroleum,344,,
Interpublic Group,345,,
J.M. Smucker,346,,
Steel Dynamics,347,,
Foot Locker,348,,
Western Refining,349,,
SpartanNash,350,,
Dean Foods,351,,
Zimmer Biomet Holdings,352,,
PulteGroup,353,,
W.R. Berkley,354,,
Quanta Services,355,,
EOG Resources,356,,
Charles Schwab,357,,
Eversource Energy,358,,
Anixter International,359,,
EMCOR Group,360,,
Assurant,361,,
CenterPoint Energy,362,,
Harris,363,,
