"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","9.51","590159255.04","62056704","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","53.11","3076269923.32","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","11.17","1275396665.31","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","65.11","2372359093.81","36436171","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","56.47","8365396116.02","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20.2","1926497856.2","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"ATEN","A10 Networks, Inc.","6.7","494449393.9","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","46.49","3374165213.49","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ACIA","Acacia Communications, Inc.","42.69","1726521787.53","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACIW","ACI Worldwide, Inc.","28.14","3263667210.3","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACMR","ACM Research, Inc.","10.51","168199286.38","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ATVI","Activision Blizzard, Inc","46.54","35512380415.72","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","22.2","1356971314.8","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"IOTS","Adesto Technologies Corporation","5.24","154234904.08","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADBE","Adobe Inc.","237.55","115956119338.85","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","20.27","20257984268.32","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"AER","Aercap Holdings N.V.","46.11","6776375260.47","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","9.8352","15204471.7248","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","3.43","190555090.6","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AGYS","Agilysys, Inc.","14.32","336925413.52","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGMH","AGM Group Holdings Inc.","28","930049540","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AL","Air Lease Corporation","36.77","4079043253.54","n/a","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","19.79","1508539751.25","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AIRG","Airgain, Inc.","10.67","105789966.37","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.3695","16693178.2555","45177749","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"ALRM","Alarm.com Holdings, Inc.","54.89","2634891970.37","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALYA","Alithya Group inc.","2.99","144807736.19","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/alya",
"ALLT","Allot Ltd.","6.27","211388849.1","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","11.41","1993489101.87","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"AOSL","Alpha and Omega Semiconductor Limited","10.76","255958191.36","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1057.19","735239698425.62","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1064.47","740302690891.06","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"AABA","Altaba Inc.","62.88","37891320173.28","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","29.23","2055699161.23","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"AYX","Alteryx, Inc.","69.08","4240352699.44","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"AMBA","Ambarella, Inc.","37.85","1213130766.35","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",
