company,rank,source,job_type
"Cravath, Swaine & Moore LLP",1,vault-law-100,law
"Wachtell, Lipton, Rosen & Katz",2,vault-law-100,law
"Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",3,vault-law-100,law
Sullivan & Cromwell LLP,4,vault-law-100,law
Latham & Watkins LLP,5,vault-law-100,law
Davis Polk & Wardwell LLP,6,vault-law-100,law
Simpson Thacher & Bartlett LLP,7,vault-law-100,law
Kirkland & Ellis LLP,8,vault-law-100,law
"Gibson, Dunn & Crutcher LLP",9,vault-law-100,law
"Paul, Weiss, Rifkind, Wharton & Garrison LLP",10,vault-law-100,law
"Weil, Gotshal & Manges LLP",11,vault-law-100,law
"Quinn Emanuel Urquhart & Sullivan, LLP",12,vault-law-100,law
Sidley Austin LLP,13,vault-law-100,law
Cleary Gottlieb Steen & Hamilton LLP,14,vault-law-100,law
Covington & Burling LLP,15,vault-law-100,law
Jones Day,16,vault-law-100,law
Williams & Connolly LLP,17,vault-law-100,law
Debevoise & Plimpton LLP,18,vault-law-100,law
White & Case LLP,19,vault-law-100,law
WilmerHale,20,vault-law-100,law
Ropes & Gray LLP,21,vault-law-100,law
Paul Hastings LLP,22,vault-law-100,law
Boies Schiller Flexner LLP,23,vault-law-100,law
Morrison & Foerster LLP,24,vault-law-100,law
Hogan Lovells US LLP,25,vault-law-100,law
O'Melveny & Myers LLP,26,vault-law-100,law
Cooley LLP,27,vault-law-100,law
Proskauer Rose LLP,28,vault-law-100,law
Akin Gump Strauss Hauer & Feld LLP,29,vault-law-100,law
Arnold & Porter Kaye Scholer LLP,30,vault-law-100,law
Baker McKenzie,31,vault-law-100,law
Mayer Brown LLP,32,vault-law-100,law
DLA Piper,33,vault-law-100,law
K&L Gates LLP,34,vault-law-100,law
Clifford Chance US LLP,35,vault-law-100,law
Linklaters LLP,36,vault-law-100,law
"Munger, Tolles & Olson LLP",37,vault-law-100,law
"Orrick, Herrington & Sutcliffe LLP",38,vault-law-100,law
Wilson Sonsini Goodrich & Rosati,39,vault-law-100,law
"Milbank, Tweed, Hadley & McCloy LLP",40,vault-law-100,law
Shearman & Sterling LLP,41,vault-law-100,law
"Morgan, Lewis & Bockius LLP",42,vault-law-100,law
King & Spalding LLP,43,vault-law-100,law
Baker Botts LLP,44,vault-law-100,law
Goodwin Procter LLP,45,vault-law-100,law
Allen & Overy LLP,46,vault-law-100,law
Winston & Strawn LLP,47,vault-law-100,law
"Cadwalader, Wickersham & Taft LLP",48,vault-law-100,law
"Fried, Frank, Harris, Shriver & Jacobson LLP",49,vault-law-100,law
Perkins Coie LLP,50,vault-law-100,law
Willkie Farr & Gallagher LLP,51,vault-law-100,law
Dechert LLP,52,vault-law-100,law
"Greenberg Traurig, LLP",53,vault-law-100,law
Alston & Bird LLP,54,vault-law-100,law
Jenner & Block LLP,55,vault-law-100,law
Freshfields Bruckhaus Deringer LLP,56,vault-law-100,law
McDermott Will & Emery LLP,57,vault-law-100,law
Cahill Gordon & Reindel LLP,58,vault-law-100,law
Holland & Knight LLP,59,vault-law-100,law
Dentons,60,vault-law-100,law
Susman Godfrey LLP,61,vault-law-100,law
Pillsbury Winthrop Shaw Pittman LLP,62,vault-law-100,law
Reed Smith LLP,63,vault-law-100,law
Baker & Hostetler LLP,64,vault-law-100,law
Vinson & Elkins LLP,65,vault-law-100,law
Norton Rose Fulbright,66,vault-law-100,law
Irell & Manella LLP,67,vault-law-100,law
Nixon Peabody LLP,68,vault-law-100,law
Crowell & Moring LLP,69,vault-law-100,law
Fish & Richardson P.C.,70,vault-law-100,law
Venable LLP,71,vault-law-100,law
