job_type,keywords,backup_keys
data_science,"['data scientist', 'data science', 'machine learning']","['research', 'scientist', 'data engineer', 'AI']"
computer_science,"['software engineer', 'software developer']","['java', 'java engineer', 'java developer', 'python', 'python engineer', 'python developer', 'SQL', 'SQL engineer', 'SQL developer',  'web engineer', 'web developer', 'full stack', 'full stack engineer', 'full stack developer', 'front end', 'front end engineer', 'front end developer', 'back end', 'back end engineer', 'back end developer']"
mba,"['program manager', 'project manager', 'product manager']","['program management', 'project management', 'product management', 'business manager', 'MBA']"
mba_finance,"['financial analyst', 'FP&A', 'finance manager']","['finance', 'analyst', 'financial planning', 'MBA']"
mba_analyst,"['senior business analyst', 'senior analyst', 'strategy analyst']","['marketing', 'operations', 'analyst', 'business analysis', 'MBA']"
consultant,"['associate', 'consultant']","['associate', 'consultant']"
quant,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']"
stats,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']"
petroleum_geologist,"['geologist', 'geology', 'petroleum', 'petrophysicist']","['scientist', 'researcher']"
chemical_engineer,"['materials scientist', 'chemist', 'chemical engineering']","['researcher', 'R&D', 'research and development', 'phd', 'scientist']"
law,"['attorney', 'lawyer', 'general counsel']","['JD', 'juris doctor', 'legal', 'counsel']"
