company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Walmart,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Geico,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Apple,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
ExxonMobil,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
McKesson,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
UnitedHealth,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CVS Health,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Motors,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AT&T,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ford Motor,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AmerisourceBergen,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Amazon,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Electric,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Verizon Communications,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cardinal Health,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Costco,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Walgreens,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kroger,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Chevron,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Fannie Mae,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
JP Morgan Chase,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Express Scripts Holding,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Home Depot,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Boeing,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Wells Fargo,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bank of America,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Google,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Microsoft,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
