,list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7
5,f1000_4,McKesson,5.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
9,f1000_8,AT&T,9.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
11,f1000_10,AmerisourceBergen,11.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
12,f1000_11,Amazon,12.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
13,f1000_12,General Electric,13.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
16,f1000_15,Costco,16.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
18,f1000_17,Kroger,18.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
23,f1000_22,Home Depot,23.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
26,f1000_25,Bank of America,26.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
28,f1000_27,Microsoft,28.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
31,f1000_30,Comcast,31.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
32,f1000_31,IBM,32.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
33,f1000_32,State Farm Insurance,33.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
34,f1000_33,Phillips 66,34.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
39,f1000_38,Freddie Mac,39.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
45,f1000_44,Archer Daniels Midland,45.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
48,f1000_47,Prudential,48.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
50,f1000_49,United Technologies Corp. Headquarters,50.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
55,f1000_54,AIG,55.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
58,f1000_57,FedEx,58.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
59,f1000_58,Hewlett Packard Enterprise,59.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
60,f1000_59,Cisco,60.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
61,f1000_60,HP,61.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
64,f1000_63,Coca-Cola,64.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
65,f1000_64,New York Life Insurance,65.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
67,f1000_66,American Airlines,67.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
68,f1000_67,Nationwide,68.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
74,f1000_73,Caterpillar,74.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
79,f1000_78,Energy Transfer Family of Partnerships,79.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
86,f1000_85,American Express,86.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
87,f1000_86,TJX,87.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
89,f1000_88,Exelon,89.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
91,f1000_90,Rite Aid,91.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
93,f1000_92,CHS,93.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
94,f1000_93,3M,94.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
95,f1000_94,Time Warner,95.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
