web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
2U,Web Marketing Analyst,"New York, NY",quantitative analyst,quant,2U,nasdaq_TWOU,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",2U,True,False,1.0,0.0,False,False,0.0,False,0.0,"New York, NY",True,New York,NY,Web Marketing Analyst,21,1.0
3M,"2019 Strategy & Marketing Development Intern ∞ (Maplewood, MN)","Maplewood, MN",quantitative finance,quant,3M,f1000_93,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",3M,True,False,3.0,0.0,True,False,0.0,False,1.0,"Maplewood, MN",True,Maplewood,MN,2019 Strategy & Marketing Development Intern,62,1.0
3M,"HR Workforce Analytics Data Scientist (Maplewood, MN)","Maplewood, MN",quantitative finance,quant,3M,f1000_93,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",3M,True,False,3.0,0.0,False,False,0.0,True,1.0,"Maplewood, MN",True,Maplewood,MN,HR Workforce Analytics Data Scientist,53,1.0
3M,"UR - Marketing & Business Development Strategist ∞ (Maplewood, MN)","Maplewood, MN",quantitative finance,quant,3M,f1000_93,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",3M,True,False,3.0,0.0,False,False,0.0,False,1.0,"Maplewood, MN",True,Maplewood,MN,UR - Marketing & Business Development Strategist,66,2.0
AGCO,"Sr. Mgr., Pricing & Business Development Job","Duluth, GA 30096",quantitative finance,quant,AGCO,f1000_369,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AGCO,True,False,1.0,0.0,False,False,0.0,False,0.0,"Duluth, GA",True,Duluth,GA,Sr Mgr - Pricing & Business Development Job,44,1.0
AIG,Assistant Actuary,"Houston, TX",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"Houston, TX",True,Houston,TX,Assistant Actuary,17,1.0
AIG,"Senior Auditor, Finance","Charlotte, NC 28209 (Ashbrook-Clawson Village area)",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"Charlotte, NC",True,Charlotte,NC,Senior Auditor - Finance,23,2.0
AIG,"Associate Audit Manager, Finance","Charlotte, NC 28209 (Ashbrook-Clawson Village area)",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"Charlotte, NC",True,Charlotte,NC,Associate Audit Manager - Finance,32,3.0
AIG,"IT Audit Manager II, Internal Audit","Charlotte, NC 28209 (Ashbrook-Clawson Village area)",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"Charlotte, NC",True,Charlotte,NC,IT Audit Manager II - Internal Audit,35,4.0
AIG,Audit Manager – Corporate Functions IT,"Charlotte, NC 28209 (Ashbrook-Clawson Village area)",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"Charlotte, NC",True,Charlotte,NC,Audit Manager Corporate Functions IT,38,5.0
AIG,"Manager of Strategy, Life & Retirement – New York","New York, NY",quantitative finance,quant,AIG,f1000_54,"['quant', 'quantitative finance', 'quantitative analyst']","['research', 'scientist', 'data', 'AI']",AIG,True,False,6.0,0.0,False,False,0.0,False,0.0,"New York, NY",True,New York,NY,Manager of Strategy - Life & Retirement,49,6.0
