list_id,company,job_type
f1000_0,Walmart,consultant
f1000_1,Geico,consultant
f1000_2,Apple,consultant
f1000_3,ExxonMobil,consultant
f1000_4,McKesson,consultant
f1000_5,UnitedHealth,consultant
f1000_6,CVS Health,consultant
f1000_7,General Motors,consultant
f1000_8,AT&T,consultant
f1000_9,Ford Motor,consultant
f1000_10,AmerisourceBergen,consultant
f1000_11,Amazon,consultant
f1000_12,General Electric,consultant
f1000_13,Verizon Communications,consultant
f1000_14,Cardinal Health,consultant
f1000_15,Costco,consultant
f1000_16,Walgreens,consultant
f1000_17,Kroger,consultant
f1000_18,Chevron,consultant
f1000_19,Fannie Mae,consultant
f1000_20,J.P. Morgan Chase,consultant
f1000_21,Express Scripts,consultant
f1000_22,Home Depot,consultant
f1000_23,Boeing,consultant
f1000_24,Wells Fargo,consultant
f1000_25,Bank of America,consultant
f1000_26,Alphabet,consultant
f1000_27,Microsoft,consultant
f1000_28,Anthem,consultant
f1000_29,Citigroup,consultant
f1000_30,Comcast,consultant
f1000_31,IBM,consultant
f1000_32,State Farm Insurance,consultant
f1000_33,Phillips 66,consultant
f1000_34,Johnson & Johnson,consultant
f1000_35,Procter & Gamble,consultant
f1000_36,Valero Energy,consultant
f1000_37,Target,consultant
f1000_38,Freddie Mac,consultant
f1000_39,Lowe's,consultant
f1000_40,Dell Technologies,consultant
f1000_41,MetLife,consultant
f1000_42,Aetna,consultant
f1000_43,PepsiCo,consultant
f1000_44,Archer Daniels Midland,consultant
f1000_45,UPS,consultant
f1000_46,Intel,consultant
f1000_47,Prudential Financial,consultant
f1000_48,Albertsons,consultant
f1000_49,United Technologies,consultant
f1000_50,Marathon Petroleum,consultant
f1000_51,Disney,consultant
f1000_52,Humana,consultant
f1000_53,Pfizer,consultant
f1000_54,AIG,consultant
f1000_55,Lockheed Martin,consultant
f1000_56,Sysco,consultant
f1000_57,FedEx,consultant
f1000_58,Hewlett Packard Enterprise,consultant
f1000_59,Cisco Systems,consultant
f1000_60,HP,consultant
f1000_61,Dow Chemical,consultant
f1000_62,HCA,consultant
f1000_63,Coca-Cola,consultant
f1000_64,New York Life Insurance,consultant
f1000_65,Centene,consultant
f1000_66,American Airlines,consultant
f1000_67,Nationwide,consultant
f1000_68,Merck,consultant
f1000_69,Cigna,consultant
f1000_70,Delta Air Lines,consultant
f1000_71,Best Buy,consultant
f1000_72,Honeywell,consultant
f1000_73,Caterpillar,consultant
f1000_74,Liberty Mutual Insurance,consultant
f1000_75,Morgan Stanley,consultant
f1000_76,Massachusetts Mutual Life Insurance,consultant
f1000_77,Goldman Sachs,consultant
f1000_78,Energy Transfer Equity,consultant
f1000_79,TIAA,consultant
f1000_80,Oracle,consultant
f1000_81,Tyson Foods,consultant
f1000_82,United Continental,consultant
f1000_83,Allstate,consultant
f1000_84,Publix Super Markets,consultant
f1000_85,American Express,consultant
f1000_86,TJX,consultant
f1000_87,Nike,consultant
f1000_88,Exelon,consultant
f1000_89,General Dynamics,consultant
f1000_90,Rite Aid,consultant
f1000_91,Gilead Sciences,consultant
f1000_92,CHS,consultant
f1000_93,3M,consultant
f1000_94,Time Warner,consultant
f1000_95,Charter Communications,consultant
f1000_96,Northwestern Mutual,consultant
f1000_97,Facebook,consultant
f1000_98,Travelers,consultant
f1000_99,Capital One Financial,consultant
f1000_100,Twenty-First Century Fox,consultant
f1000_101,USAA,consultant
f1000_102,World Fuel Services,consultant
f1000_103,Philip Morris,consultant
f1000_104,Deere,consultant
f1000_105,Kraft Heinz,consultant
f1000_106,Tech Data,consultant
f1000_107,Avnet,consultant
f1000_108,Mondelez,consultant
f1000_109,Macy's,consultant
f1000_110,AbbVie,consultant
f1000_111,McDonald's,consultant
f1000_112,DuPont,consultant
f1000_113,Northrop Grumman,consultant
f1000_114,ConocoPhillips,consultant
f1000_115,Raytheon,consultant
f1000_116,Andeavor,consultant
f1000_117,Arrow Electronics,consultant
f1000_118,Qualcomm,consultant
f1000_119,Progressive,consultant
f1000_120,Duke Energy,consultant
f1000_121,Enterprise Products Partners,consultant
f1000_122,Amgen,consultant
f1000_123,US Foods,consultant
f1000_124,U.S. Bank,consultant
f1000_125,Aflac,consultant
f1000_126,Sears,consultant
f1000_127,Dollar General,consultant
f1000_128,AutoNation,consultant
f1000_129,Community Health Systems,consultant
f1000_130,Starbucks,consultant
f1000_131,Eli Lilly,consultant
f1000_132,International Paper,consultant
f1000_133,Tenet Healthcare,consultant
f1000_134,Abbott Laboratories,consultant
f1000_135,Dollar Tree,consultant
f1000_136,Whirlpool,consultant
f1000_137,Southwest Airlines,consultant
f1000_138,Emerson Electric,consultant
f1000_139,Staples,consultant
f1000_140,Plains GP,consultant
f1000_141,Penske Automotive,consultant
f1000_142,Union Pacific,consultant
f1000_143,Danaher,consultant
f1000_144,Southern,consultant
f1000_145,ManpowerGroup,consultant
f1000_146,Bristol-Myers Squibb,consultant
f1000_147,Altria,consultant
f1000_148,Fluor,consultant
f1000_149,Kohl's,consultant
f1000_150,Lear,consultant
f1000_151,Jabil,consultant
f1000_152,Hartford Financial Services,consultant
f1000_153,Thermo Fisher Scientific,consultant
f1000_154,Kimberly-Clark,consultant
f1000_155,Molina Healthcare,consultant
f1000_156,PG&E,consultant
f1000_157,Supervalu,consultant
f1000_158,Cummins,consultant
f1000_159,CenturyLink,consultant
f1000_160,Aecom,consultant
f1000_161,Xerox,consultant
f1000_162,Marriott,consultant
f1000_163,Paccar,consultant
f1000_164,General Mills,consultant
f1000_165,PNC Financial Services,consultant
f1000_166,American Electric Power,consultant
f1000_167,Icahn Enterprises,consultant
f1000_168,Nucor,consultant
f1000_169,NextEra Energy,consultant
f1000_170,Performance Food,consultant
f1000_171,PBF Energy,consultant
