web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
99 Cents Only,Senior QA Analyst,"Commerce, CA",business analyst,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,True,2.0,"Commerce, CA",True,Commerce,CA,Senior QA Analyst,17,1.0
99 Cents Only,Key Holder,"Reno, NV",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,False,2.0,"Reno, NV",True,Reno,NV,Key Holder,10,1.0
99 Cents Only Store,Store Manager 2847,"Dallas, TX",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only Store,False,False,0.0,0.0,False,False,1.0,False,2.0,"Dallas, TX",True,Dallas,TX,Store Manager 2847,18,2.0
99 Cents Only,SAP FICO Business Analyst,"Commerce, CA",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,True,2.0,"Commerce, CA",True,Commerce,CA,SAP FICO Business Analyst,25,2.0
99 Cents Only Store,Asistant Manager 2885,"Arlington, TX",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only Store,False,False,0.0,0.0,False,False,1.0,False,2.0,"Arlington, TX",True,Arlington,TX,Asistant Manager 2885,21,3.0
99 Cents Only Store,Assistant Manager 2847,"Dallas, TX",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only Store,False,False,0.0,0.0,False,False,1.0,False,2.0,"Dallas, TX",True,Dallas,TX,Assistant Manager 2847,22,4.0
99 Cents Only,Internal Audit Manager,"Commerce, CA",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,False,2.0,"Commerce, CA",True,Commerce,CA,Internal Audit Manager,22,5.0
99 Cents Only,IT Customer Support Manager (Retail),"Commerce, CA",business analyst,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,False,2.0,"Commerce, CA",True,Commerce,CA,IT Customer Support Manager,36,6.0
99 Cents Only,IT Customer Support Manager (Retail),"Commerce, CA",project manager,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,False,1.0,False,2.0,"Commerce, CA",True,Commerce,CA,IT Customer Support Manager,36,7.0
99 Cents Only,SAP FICO Business Analyst,"Commerce, CA",business analyst,mba,99 Cents Only Stores,f1000_928,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",99 Cents Only,False,False,0.0,0.0,False,True,1.0,False,2.0,"Commerce, CA",True,Commerce,CA,SAP FICO Business Analyst,25,1.0
"A. Schulman, Inc.",Accounts Receivable Analyst,"Akron, OH",business analyst,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,True,3.0,"Akron, OH",True,Akron,OH,Accounts Receivable Analyst,27,1.0
"A. Schulman, Inc.",Senior Accountant,"Akron, OH",project manager,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,False,3.0,"Akron, OH",True,Akron,OH,Senior Accountant,17,1.0
"A. Schulman, Inc.",Senior Cost Accounting Analyst,"Akron, OH",business analyst,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,True,3.0,"Akron, OH",True,Akron,OH,Senior Cost Accounting Analyst,30,2.0
"A. Schulman, Inc.",Maintenance Supervisor,"Allentown, PA 18106",project manager,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,False,3.0,"Allentown, PA",True,Allentown,PA,Maintenance Supervisor,22,2.0
"A. Schulman, Inc.",Senior Cost Accounting Analyst,"Akron, OH",financial analyst,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,True,3.0,"Akron, OH",True,Akron,OH,Senior Cost Accounting Analyst,30,3.0
"A. Schulman, Inc.",Account Manager - Indiana Territory,United States,project manager,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,False,3.0,United States,False,United States,,Account Manager - Indiana Territory,35,3.0
"A. Schulman, Inc.",Account Manager - Dallas/Fort Worth,United States,project manager,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,False,3.0,United States,False,United States,,Account Manager - Dallas/Fort Worth,35,4.0
"A. Schulman, Inc.",Finance Process Improvement Specialist,"Akron, OH",project manager,mba,A. Schulman,f1000_810,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A Schulman Inc ,False,False,0.0,0.0,False,False,0.0,False,3.0,"Akron, OH",True,Akron,OH,Finance Process Improvement Specialist,38,5.0
