cid,list_id,company,position,office,office_state,job_type
c01,glassdoor_25,23andMe,Scientist / Senior Scientist - Statistical Genetics,Mountain View,CA,stats
c02,f1000_93,3M,3M HIS Advanced Data Scientist,Murray,UT,stats
c03,f1000_239,ADP,Lead Data Scientist,New York,NY,stats
c04,f1000_54,AIG,NLP Scientist,New York,NY,stats
c05,f1000_762,AMC Networks,Analyst - Research,New York,NY,stats
c06,f1000_8,AT&T,Senior-Data Scientist,Plano,TX,stats
c07,f1000_110,AbbVie,Manager - Statistics,North Chicago,IL,stats
c08,f1000_134,Abbott Laboratories,Senior Statistician,Irving,TX,stats
c09,vault_109,Accenture,Data Scientist,Chicago,IL,data_science
c10,nasdaq_ADBE,Adobe,Research Scientist,Seattle,WA,stats
c11,f1000_42,Aetna,Lead Data Scientist,Hartford,CT,stats
c12,f1000_125,Aflac,Head of Quantitative Risk,New York,NY,stats
c13,f1000_575,Agilent Technologies,Senior Biostatistician,Carpinteria,CA,stats
c14,f1000_48,Albertsons,Lead Data Scientist,Pleasanton,CA,stats
c15,f1000_834,Alere,Principal Biostatistician,Scarborough,ME,stats
c16,f1000_955,Alliance,Data Scientist,Woodland,CA,stats
c17,f1000_83,Allstate,Allstate Technology Leadership Development Program,Charlotte,NC,stats
c18,f1000_285,Ally Financial,Data Scientist,Charlotte,NC,stats
c19,f1000_11,Amazon,Applied Scientist,Seattle,WA,stats
c20,f1000_66,American Airlines,Consultant/Senior Consultant - IT Operations Research and Advanced Analytics,Fort Worth,TX,stats
c21,f1000_85,American Express,Engineer - Machine Learning / Data Scientist,Phoenix,AZ,stats
c22,f1000_964,American Greetings,Statistical Analyst I,Westlake,OH,stats
c23,f1000_238,Ameriprise Financial,Vice President - Data Scientist - Auto & Home,Green Bay,WI,stats
c24,f1000_122,Amgen,Biostatistics Mgr,Thousand Oaks,CA,stats
c25,vault_118,Analysis,UWSD18-430 Senior Data Scientist/ Principal Analyst,Alexandria,VA,data_science
c26,f1000_28,Anthem,Data Scientist,Chicago,IL,stats
c27,f1000_2,Apple,AppleCare Data Scientist,Santa Clara Valley,CA,stats
c28,f1000_264,Applied Materials,Data Scientist IV ,Santa Clara,CA,stats
c29,f1000_264,Applied Materials,Data Scientist,Santa Clara,CA,stats
