web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
23andMe,Scientist / Senior Scientist - Statistical Genetics,"Mountain View, CA 94041",statistics,stats,23andMe,glassdoor_25,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",23andMe,True,False,5.0,0.0,False,True,1.0,False,2.0,"Mountain View, CA",True,Mountain View,CA,Scientist / Senior Scientist - Statistical Genetics,51,1.0
3M,"3M HIS Advanced Data Scientist ∞ (Murray, UT / St. Paul, MN)","Murray, UT",statistics,stats,3M,f1000_93,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",3M,True,False,10.0,0.0,False,False,0.0,True,1.0,"Murray, UT",True,Murray,UT,3M HIS Advanced Data Scientist,60,1.0
ADP,Lead Data Scientist,"New York, NY 10010 (Gramercy area)",statistics,stats,ADP,f1000_239,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",ADP,True,False,13.0,0.0,False,False,0.0,True,2.0,"New York, NY",True,New York,NY,Lead Data Scientist,19,1.0
AIG,NLP Scientist,"New York, NY",statistics,stats,AIG,f1000_54,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",AIG,True,False,9.0,0.0,False,False,0.0,True,1.0,"New York, NY",True,New York,NY,NLP Scientist,13,1.0
AMC Networks,Analyst - Research,"New York, NY",statistics,stats,AMC Networks,f1000_762,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",AMC Networks,True,False,1.0,0.0,False,False,0.0,True,1.0,"New York, NY",True,New York,NY,Analyst - Research,18,1.0
AT&T,Senior-Data Scientist,"Plano, TX",statistics,stats,AT&T,f1000_8,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",AT&T,True,False,11.0,0.0,False,False,0.0,True,5.0,"Plano, TX",True,Plano,TX,Senior-Data Scientist,21,1.0
AbbVie,"Manager, Statistics","North Chicago, IL",statistician,stats,AbbVie,f1000_110,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",AbbVie,True,False,20.0,4.0,False,True,14.0,False,2.0,"North Chicago, IL",True,North Chicago,IL,Manager - Statistics,19,1.0
Abbott Laboratories,Senior Statistician,"Irving, TX 75038",statistics,stats,Abbott Laboratories,f1000_134,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Abbott Laboratories,True,False,20.0,0.0,False,True,8.0,False,1.0,"Irving, TX",True,Irving,TX,Senior Statistician,19,1.0
Accenture,"Data Scientist, Chicago","Chicago, IL",data scientist,data_science,Accenture,vault_109,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",Accenture,True,False,18.0,0.0,False,True,11.0,False,4.0,"Chicago, IL",True,Chicago,IL,Data Scientist,23,1.0
Adobe,Research Scientist,"Seattle, WA",statistics,stats,Adobe,nasdaq_ADBE,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Adobe,True,False,13.0,0.0,False,False,0.0,True,5.0,"Seattle, WA",True,Seattle,WA,Research Scientist,18,1.0
