list_id,company,job_type,keywords,counter
f1000_0,Walmart,consultant,"['associate', 'consultant']",0
f1000_1,Geico,consultant,"['associate', 'consultant']",1
f1000_2,Apple,consultant,"['associate', 'consultant']",2
f1000_3,ExxonMobil,consultant,"['associate', 'consultant']",3
f1000_4,McKesson,consultant,"['associate', 'consultant']",4
f1000_5,UnitedHealth,consultant,"['associate', 'consultant']",5
f1000_6,CVS Health,consultant,"['associate', 'consultant']",6
f1000_7,General Motors,consultant,"['associate', 'consultant']",7
f1000_8,AT&T,consultant,"['associate', 'consultant']",8
f1000_9,Ford Motor,consultant,"['associate', 'consultant']",9
f1000_10,AmerisourceBergen,consultant,"['associate', 'consultant']",10
f1000_11,Amazon,consultant,"['associate', 'consultant']",11
f1000_12,General Electric,consultant,"['associate', 'consultant']",12
f1000_13,Verizon Communications,consultant,"['associate', 'consultant']",13
f1000_14,Cardinal Health,consultant,"['associate', 'consultant']",14
f1000_15,Costco,consultant,"['associate', 'consultant']",15
f1000_16,Walgreens,consultant,"['associate', 'consultant']",16
f1000_17,Kroger,consultant,"['associate', 'consultant']",17
f1000_18,Chevron,consultant,"['associate', 'consultant']",18
f1000_19,Fannie Mae,consultant,"['associate', 'consultant']",19
f1000_20,J.P. Morgan Chase,consultant,"['associate', 'consultant']",20
f1000_21,Express Scripts,consultant,"['associate', 'consultant']",21
f1000_22,Home Depot,consultant,"['associate', 'consultant']",22
f1000_23,Boeing,consultant,"['associate', 'consultant']",23
f1000_24,Wells Fargo,consultant,"['associate', 'consultant']",24
f1000_25,Bank of America,consultant,"['associate', 'consultant']",25
f1000_26,Alphabet,consultant,"['associate', 'consultant']",26
f1000_27,Microsoft,consultant,"['associate', 'consultant']",27
f1000_28,Anthem,consultant,"['associate', 'consultant']",28
f1000_29,Citigroup,consultant,"['associate', 'consultant']",29
f1000_30,Comcast,consultant,"['associate', 'consultant']",30
f1000_31,IBM,consultant,"['associate', 'consultant']",31
f1000_32,State Farm Insurance,consultant,"['associate', 'consultant']",32
f1000_33,Phillips 66,consultant,"['associate', 'consultant']",33
f1000_34,Johnson & Johnson,consultant,"['associate', 'consultant']",34
f1000_35,Procter & Gamble,consultant,"['associate', 'consultant']",35
f1000_36,Valero Energy,consultant,"['associate', 'consultant']",36
f1000_37,Target,consultant,"['associate', 'consultant']",37
f1000_38,Freddie Mac,consultant,"['associate', 'consultant']",38
f1000_39,Lowe's,consultant,"['associate', 'consultant']",39
f1000_40,Dell Technologies,consultant,"['associate', 'consultant']",40
f1000_41,MetLife,consultant,"['associate', 'consultant']",41
f1000_42,Aetna,consultant,"['associate', 'consultant']",42
f1000_43,PepsiCo,consultant,"['associate', 'consultant']",43
f1000_44,Archer Daniels Midland,consultant,"['associate', 'consultant']",44
f1000_45,UPS,consultant,"['associate', 'consultant']",45
f1000_46,Intel,consultant,"['associate', 'consultant']",46
f1000_47,Prudential Financial,consultant,"['associate', 'consultant']",47
f1000_48,Albertsons,consultant,"['associate', 'consultant']",48
f1000_49,United Technologies,consultant,"['associate', 'consultant']",49
f1000_50,Marathon Petroleum,consultant,"['associate', 'consultant']",50
f1000_51,Disney,consultant,"['associate', 'consultant']",51
f1000_52,Humana,consultant,"['associate', 'consultant']",52
f1000_53,Pfizer,consultant,"['associate', 'consultant']",53
f1000_54,AIG,consultant,"['associate', 'consultant']",54
f1000_55,Lockheed Martin,consultant,"['associate', 'consultant']",55
f1000_56,Sysco,consultant,"['associate', 'consultant']",56
f1000_57,FedEx,consultant,"['associate', 'consultant']",57
f1000_58,Hewlett Packard Enterprise,consultant,"['associate', 'consultant']",58
