list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5
f1000_7,General Motors,8.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_13,Verizon Communications,14.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_20,J.P. Morgan Chase,21.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_26,Alphabet,27.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_29,Citigroup,30.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_40,Dell Technologies,41.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_47,Prudential Financial,48.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_49,United Technologies,50.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_59,Cisco Systems,60.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_74,Liberty Mutual Insurance,75.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_76,Massachusetts Mutual Life Insurance,77.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_78,Energy Transfer Equity,79.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_82,United Continental,83.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_84,Publix Super Markets,85.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_95,Charter Communications,96.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_99,Capital One Financial,100.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_100,Twenty-First Century Fox,101.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_102,World Fuel Services,103.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_116,Andeavor,117.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_117,Arrow Electronics,118.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_121,Enterprise Products Partners,122.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_124,U.S. Bank,125.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_129,Community Health Systems,130.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_138,Emerson Electric,139.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_140,Plains GP,141.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_141,Penske Automotive,142.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_142,Union Pacific,143.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_145,ManpowerGroup,146.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_149,Kohl's,150.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_152,Hartford Financial Services,153.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_156,PG&E,157.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_167,Icahn Enterprises,168.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_176,Bank of New York Mellon,177.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_183,Goodyear Tire & Rubber,184.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_184,Synchrony Financial,185.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_194,WellCare Health Plans,195.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_201,Illinois Tool Works,202.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_204,Cognizant Technology Solutions,205.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_206,Lincoln National,207.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_208,Land O'Lakes,209.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_211,C.H. Robinson Worldwide,212.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_217,Guardian Life Ins. Co. of America,218.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_220,J.C. Penney,221.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_221,Farmers Insurance Exchange,222.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_225,Micron Technology,226.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_231,D.R. Horton,232.0,fortune1000,data_science,stats,quant,mba,consultant
