cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0001,cnbc_34,Duolingo,Machine Learning Engineer,Pittsburgh,PA,data_science,35.0,cnbc_disruptor50,1
c0002,cnbc_48,GitHub,Senior Business Systems Analyst,San Francisco,CA,mba_analyst,49.0,cnbc_disruptor50,1
c0003,f1000_01,Berkshire Hathaway,NET Software Engineer II,Omaha,NE,computer_science,2.0,fortune1000,1
c0004,f1000_112,DuPont,Data Scientist,Wilmington,DE,data_science,113.0,fortune1000,1
c0005,f1000_129,Community Health Systems,Associate Application System Analyst Big Data Programmer,Franklin,TN,mba_analyst,130.0,fortune1000,1
c0006,f1000_133,Tenet Healthcare,Senior Compensation Analyst,Dallas,TX,mba_finance,134.0,fortune1000,1
c0007,f1000_134,Abbott Laboratories,Sr Software Engineer,Hollywood,FL,computer_science,135.0,fortune1000,1
c0008,f1000_138,Emerson Electric,"Senior Analyst, Pension Investments",St. Louis,MO,mba_analyst,139.0,fortune1000,1
c0009,f1000_151,Jabil,Data Scientist,Saint Petersburg,FL,data_science,152.0,fortune1000,1
c0010,f1000_182,PPG Industries,Lead Data Scientist,Pittsburgh,PA,data_science,183.0,fortune1000,1
c0011,f1000_20,JP Morgan Chase,CCB - Quantitative Modeler / Data Scientist,New York,NY,data_science,21.0,fortune1000,1
c0012,f1000_206,Lincoln Financial,"Sr. Analyst, Quantitative Modeling and Analytics",Philadelphia,PA,quant,207.0,fortune1000,1
c0013,f1000_208,Land O'Lakes,Data Scientist,Gray Summit,MO,data_science,209.0,fortune1000,1
c0014,f1000_216,Western Digital,Javascript Engineer,Redwood City,CA,computer_science,217.0,fortune1000,1
c0015,f1000_253,Celgene,Statistician,Berkeley Heights,NJ,stats,254.0,fortune1000,1
c0016,f1000_29,Citibank,Data Scientist- Solutions Analytics Lead,Wilmington,DE,data_science,30.0,fortune1000,1
c0017,f1000_308,Eastman Chemical,IT Project Manager,Kingsport,TN,mba,309.0,fortune1000,1
c0018,f1000_312,Frontier Communications,User Interface Software Engineer,Everett,WA,computer_science,313.0,fortune1000,1
c0019,f1000_33,Phillips 66,Business Analyst,Houston,TX,mba_finance,34.0,fortune1000,1
c0020,f1000_345,J.M. Smucker,"Lead Data Scientist, Category Analytics & Systems",Orrville,OH,data_science,346.0,fortune1000,1
c0021,f1000_35,Procter & Gamble,Data Scientist-R&D,Cincinnati,OH,data_science,36.0,fortune1000,1
c0022,f1000_351,Zimmer Biomet,Financial Analyst,Dover,OH,mba_finance,352.0,fortune1000,1
c0023,f1000_366,Williams,Financial Analyst,Pittsburgh,PA,mba_finance,367.0,fortune1000,1
c0024,f1000_368,Hershey,Senior Data Scientist,Hershey,PA,data_science,369.0,fortune1000,1
