cid,list_id,company,position,office,office_state,job_type
c01,nasdaq_DDD,3D Systems,Cloud Software Engineer,San Diego,CA,computer_science
c02,nasdaq_ACIW,ACI Worldwide,Sr Software Engineer,Omaha,NE,computer_science
c03,f1000_193,AES,Signals Software Engineer,Colorado Springs,CO,computer_science
c04,f1000_369,AGCO,Software Developer I Job,Tremont,IL,computer_science
c05,f1000_691,Aaron's,Software Engineer,Kennesaw,GA,computer_science
c06,forbes_48,Acquia,Software Engineer,Boston,MA,computer_science
c07,ru_ADTN,Adtran,Software Engineer,Franklin,MA,computer_science
c08,ru_AVAV,Aerovironment,Software Engineer Sr,Simi Valley,CA,computer_science
c09,nasdaq_AGYS,Agilysys,Software Engineer Lead,Bellevue,WA,computer_science
c10,nasdaq_ALRM,Alarm.com,Software Engineer,Redwood City,CA,computer_science
c11,ru_ALLE,Allegion,Software Developer in Test,Golden,CO,computer_science
c12,nasdaq_ALTR,Altair Engineering,Software Engineer,Gardena,CA,computer_science
c13,nasdaq_AYX,Alteryx,Software Engineer,Broomfield,CO,computer_science
c14,f1000_474,AmTrust Financial Services,ETL Development Manager,Cleveland,OH,computer_science
c15,ru_DOX,Amdocs,Software Engineer,Richardson,TX,computer_science
c16,nasdaq_AMRH,Ameri,Software Engineer,Carlsbad,CA,computer_science
c17,f1000_85,American Express,Software Engineer,New York,NY,computer_science
c18,ru_AMH,American Homes 4 Rent,Web Developer,Las Vegas,NV,computer_science
c19,f1000_448,American Tower,Senior Software Engineer,Cary,NC,computer_science
c20,f1000_238,Ameriprise Financial,Senior Software Engineer,Minneapolis,MN,computer_science
c21,f1000_603,Ametek,Associate Software Engineer,Middlefield,CT,computer_science
c22,nasdaq_ASYS,Amtech Systems,Software Engineer I,Albuquerque,NM,computer_science
c23,ru_AFSI,Amtrust Financial,ETL Development Manager,Cleveland,OH,computer_science
c24,f1000_659,Analog Devices,Senior Embedded Software Engineer,Munster,IN,computer_science
c25,f1000_358,Anixter,Hybris Web Developer,Glenview,IL,computer_science
c26,nasdaq_ANSS,Ansys,Software Developer II,Canonsburg,PA,computer_science
c27,f1000_28,Anthem,Front End Software Engineer,Laurel,MD,computer_science
c28,nasdaq_APY,Apergy,Lead Software Engineer,Frederick,CO,computer_science
c29,glassdoor_107,AppDynamics,Software Engineer,Raleigh,NC,computer_science
c30,ru_APTI,Apptio,Software Development Engineer II,Bellevue,WA,computer_science
c31,ru_APTV,Aptiv,Software Engineer,Troy,MI,computer_science
c32,f1000_191,Aramark,Senior Full Stack Engineer - iBuyEfficient,Aliso Viejo,CA,computer_science
c33,f1000_117,Arrow Electronics,Web Engineer 1,Cambridge,MA,computer_science
c34,f1000_360,Assurant,Software Engineer,Miami,FL,computer_science
c35,nasdaq_ASUR,Asure Software,Software Engineer,Burlington,VT,computer_science
c36,ru_ATHN,Athenahealth,Senior Software Engineer - Tooling and Automation,Watertown,MA,computer_science
c37,nasdaq_TEAM,Atlassian,Software Engineer - Identity,Mountain View,CA,computer_science
c38,f1000_269,AutoZone,Software Engineer Manager,Elk Grove,CA,computer_science
c39,f1000_922,AvalonBay Communities,Salesforce Software Engineer,Arlington,VA,computer_science
c40,f1000_620,Avaya,Software Engineer III,Thornton,CO,computer_science
c41,forbes_41,AvidXchange,Software Engineer II,Charlotte,NC,computer_science
c42,ru_AVA,Avista,Software Engineer,Cedar Rapids,IA,computer_science
c43,f1000_770,BGC Partners,Software Engineer,Chicago,IL,computer_science
c44,f1000_176,BNY Mellon,Lead Java Developer,Jersey City,NJ,computer_science
c45,nasdaq_BAND,Bandwidth,Software Engineer,Raleigh,NC,computer_science
c46,f1000_232,Bed Bath & Beyond,Java Microservices Developer,Union,NJ,computer_science
c47,f1000_845,Belden,SOFTWARE ENGINEER - BROADCAST SOLUTIONS - GRASS VALLEY - HILLSBORO - OR,Hillsboro,OR,computer_science
c48,f1000_862,Benchmark Electronics,Software Engineer I,Rochester,MN,computer_science
c49,glassdoor_45,Berkshire,NET Software Engineer II ,Omaha,NE,computer_science
c50,nasdaq_BL,BlackLine,Staff Software Engineer Front End,Woodland Hills,CA,computer_science
c51,nasdaq_BLKB,Blackbaud,Software Engineer,Charleston,SC,computer_science
c52,glassdoor_91,Blizzard Entertainment,Software Engineer - Tools,Irvine,CA,computer_science
c53,f1000_23,Boeing,Software Engineer,St. Louis,MO,computer_science
c54,glassdoor_54,Boston Consulting Group,Software Engineer,Boston,MA,computer_science
c55,f1000_326,Boston Scientific,Senior Software Engineer,Valencia,CA,computer_science
c56,f1000_893,Boyd Gaming,SENIOR SOFTWARE ENGINEER,Las Vegas,NV,computer_science
c57,nasdaq_BCOV,Brightcove,Senior Software Engineer,Scottsdale,AZ,computer_science
c58,f1000_511,Brookdale Senior Living,Software Developer,Milwaukee,WI,computer_science
c59,nasdaq_BRKS,Brooks Automation,Software Engineer,Fremont,CA,computer_science
c60,f1000_546,Brunswick,Mercury Marine - Software Engineer,Fond du Lac,WI,computer_science
c61,ru_BKE,Buckle,IT - Software Developer,Kearney,NE,computer_science
c62,f1000_420,Builders FirstSource,Manager Software Engineering,Dallas,TX,computer_science
c63,f1000_904,CDK Global,Software Engineer I,Seattle,WA,computer_science
c64,ru_CME,CME,Lead Software Engineer - Trade Execution,New York,NY,computer_science
c65,f1000_632,CME Group,Lead Software Engineer - Trade Execution,New York,NY,computer_science
c66,ru_CABO,Cable One,Senior Java Developer,Phoenix,AZ,computer_science
c67,ru_CALX,Calix,Software Engineer,Minneapolis,MN,computer_science
c68,ru_ELY,Callaway Golf,Principal eCommerce Software Engineer,Carlsbad,CA,computer_science
c69,ru_CSII,Cardiovascular Systems,Sr Full Stack Developer,Saint Paul,MN,computer_science
c70,ru_CRCM,Care.com,Software Engineer,Canoga Park,CA,computer_science
c71,f1000_622,Carlisle,IT Senior Software Developer,Mobile,AL,computer_science
c72,nasdaq_CASA,Casa Systems,Software Engineer - AMF/N3IWF,Andover,MA,computer_science
c73,glassdoor_90,Cengage,Associate Software Engineer,Washington,DC,computer_science
c74,nasdaq_CHKP,Check Point Software Technologies,Software Engineer,San Carlos,CA,computer_science
c75,forbes_46,Checkr,Software Engineer - Full Stack,San Francisco,CA,computer_science
c76,ru_CHGG,Chegg,Front End Developer / Software Engineer React/Redux,New York,NY,computer_science
c77,f1000_342,Chesapeake Energy,Software Developer II,Oklahoma City,OK,computer_science
c78,ru_CHH,Choice Hotels,Software Engineer II,Phoenix,AZ,computer_science
c79,f1000_787,Ciena,FullStack Software Engineer,Petaluma,CA,computer_science
c80,ru_CIA,Citizens,Java Developer,Jacksonville,FL,computer_science
c81,f1000_763,Clean Harbors,Senior Software Engineer,Norwell,MA,computer_science
c82,cnbc_9,Coinbase,Senior Software Engineer - Reliability,San Francisco,CA,computer_science
c83,ru_CMCO,Columbus Mckinnon,NET Software Engineer,Charlotte,NC,computer_science
c84,f1000_735,Comerica,Engineer III-Full Stack Developer,Auburn Hills,MI,computer_science
c85,ru_CMP,Compass Minerals,Software Engineer,Overland Park,KS,computer_science
c86,nasdaq_CTG,Computer Task Group,Java Developer,Secaucus,NJ,computer_science
c87,nasdaq_CMTL,Comtech Telecommunications,Senior Software Engineer,Tempe,AZ,computer_science
c88,forbes_30,Confluent,Java Engineer,Austin,TX,computer_science
c89,ru_CTRL,Control4,Senior Software Engineer Full Stack,Draper,UT,computer_science
c90,f1000_947,Cooper,Software Developer,Findlay,OH,computer_science
c91,f1000_742,Cooper Tire & Rubber,Software Developer,Findlay,OH,computer_science
c92,ru_CPRT,Copart,Software Engineer,Dallas,TX,computer_science
c93,nasdaq_CSOD,Cornerstone OnDemand,Senior Software Engineer - DevOps & Build Release,Santa Monica,CA,computer_science
c94,ru_CRVL,Corvel,Senior Software Engineer,Portland,OR,computer_science
c95,ru_CSGP,Costar,Software Developer,San Diego,CA,computer_science
c96,f1000_15,Costco,Software Developer 2839,Issaquah,WA,computer_science
c97,glassdoor_128,Costco Wholesale,Software Developer 2841,Issaquah,WA,computer_science
c98,f1000_766,Crane,Software Engineer,Fremont,CA,computer_science
c99,ru_CRD.B,Crawford & Company,Senior Software Engineer,Sunrise,FL,computer_science
c100,nasdaq_CRAY,Cray,Software Engineer,Chippewa Falls,WI,computer_science
c101,bi_0,Credit Karma,Staff Software Engineer,Charlotte,NC,computer_science
c102,f1000_158,Cummins,Senior Software Engineer,Columbus,IN,computer_science
c103,f1000_907,Curtiss-Wright,Associate Software Engineer,Idaho Falls,ID,computer_science
c104,ru_CUTR,Cutera,Senior Embedded Software Engineer,Brisbane,CA,computer_science
c105,f1000_846,DST Systems,Software Engineer,Kansas City,MO,computer_science
c106,f1000_180,DaVita,Full-stack Developer,Denver,CO,computer_science
c107,f1000_104,Deere,API Software Engineer,Moline,IL,computer_science
c108,f1000_70,Delta Air Lines,IT Architect - Microservices - Java API,Atlanta,GA,computer_science
c109,f1000_339,Dick's Sporting Goods,Software Engineer - A/R,Coraopolis,PA,computer_science
c110,f1000_127,Dollar General,SOFTWARE ENGINEER II,Goodlettsville,TN,computer_science
c111,nasdaq_DOMO,Domo,Software Engineer - Internationalization and Localization,American Fork,UT,computer_science
c112,ru_DFIN,Donnelley Financial,Software Engineer,Chicago,IL,computer_science
c113,f1000_391,Dover,Software Engineer,Austin,TX,computer_science
c114,cnbc_39,Drawbridge,Software Engineer,San Mateo,CA,computer_science
c115,f1000_779,Dycom Industries,Software Engineer,Palm Beach Gardens,FL,computer_science
c116,f1000_929,E Trade Financial,Senior Java Developer,Jersey City,NJ,computer_science
