cid,list_id,company,position,office,office_state,job_type
c01,nasdaq_SNAP,Snap,"Software Engineer, Machine Learning",Los Angeles,CA,computer_science
c02,f1000_505,Williams-Sonoma,Web Engineer II - Outward Inc.,San Jose,CA,computer_science
c03,glassdoor_55,LinkedIn,Staff Data Scientist,Sunnyvale,CA,data_science
c04,f1000_20,JP Morgan Chase,CCB - Quantitative Modeler / Data Scientist,New York,NY,quant
c05,f1000_33,Phillips 66,Business Analyst,Houston,TX,mba_finance
c06,f1000_112,DuPont,Data Scientist,Wilmington,DE,data_science
c07,forbes_0,Stripe,Data Scientist,New York,NY,data_science
c08,cnbc_48,GitHub,Senior Business Systems Analyst,San Francisco,CA,mba_analyst
c09,f1000_535,Marathon Oil,Sr. IT Business Analyst,Houston,TX,mba_analyst
c10,f1000_366,Williams,Financial Analyst,Pittsburgh,PA,mba_finance
c11,f1000_151,Jabil,Data Scientist,Saint Petersburg,FL,data_science
c12,f1000_77,Goldman Sachs,Securities - Core Quant Strats,New York,NY,quant
c13,glassdoor_96,The Clorox Company,Senior Financial Analyst- Finance Systems,Pleasanton,CA,mba_finance
c14,f1000_823,Parexel,Sr Hyperion Business Analyst,Durham,NC,mba_analyst
c15,f1000_79,TIAA,Quantitative Analyst,Charlotte,NC,mba_analyst
c16,f1000_977,Deluxe,Sr. Statistical Modeling Analyst,Shoreview,MN,stats
c17,f1000_898,Waters,Front End Web Developer,Boston,MA,computer_science
c18,f1000_01,Berkshire Hathaway,NET Software Engineer II,Omaha,NE,computer_science
c19,f1000_29,Citigroup,Data Scientist- Solutions Analytics Lead,Wilmington,DE,data_science
