job_type,prestige,int_id,internship,int_ctyst,int_title,int_type
data_science,H,ds_in01,Google,"Mountain View, CA",Data Science Intern,any
data_science,H,ds_in02,Facebook,"Menlo Park, CA",Data Science Summer Intern,any
data_science,H,ds_in03,LinkedIn,"Sunnyvale, CA","Data Science, Summer Intern",any
data_science,H,ds_in04,Apple,"Cupertino, CA",Data Science Intern,any
data_science,H,ds_in05,Amazon,"Seattle, WA",Data Science Summer Intern,any
data_science,H,ds_in06,Microsoft,"Redmond, WA","Data Science, Summer Intern",any
data_science,H,ds_in07,Twitter,"San Francisco, CA",Data Science Intern,any
data_science,H,ds_in08,Uber,"San Francisco, CA",Data Science Summer Intern,any
data_science,H,ds_in09,Airbnb,"San Francisco, CA","Data Science, Summer Intern",any
data_science,L,ds_in10,Vidora,"San Francisco, CA",Data Science Intern,any
data_science,L,ds_in11,Naborly,"San Francisco, CA",Data Science Summer Intern,any
data_science,L,ds_in12,Clobotics,"Seattle, WA","Data Science, Summer Intern",any
data_science,L,ds_in13,Shift,"San Francisco, CA",Data Science Intern,any
data_science,L,ds_in14,Skymind,"San Francisco, CA",Data Science Summer Intern,any
data_science,L,ds_in15,Cylance,"Irvine, CA","Data Science, Summer Intern",any
data_science,L,ds_in16,Stratio,"Los Gatos, CA",Data Science Intern,any
data_science,L,ds_in17,Wove,"San Francisco, CA",Data Science Intern,any
data_science,L,ds_in18,Miro,"San Francisco, CA",Data Science Intern,any
mba,H,mba_in01,Amazon,"Seattle, WA","Corporate Development Manager, MBA Intern",any
mba,H,mba_in02,Google,"Mountain View, CA",MBA Intern,any
mba,H,mba_in03,Microsoft,"Redmond, WA",Business Programs and Operations Intern,any
mba,H,mba_in04,Facebook,"Menlo Park, CA","Product Marketing Manager, MBA Intern",any
mba,H,mba_in05,Genentech,"San Francisco, CA",MBA Intern,any
mba,H,mba_in06,Apple,"Cupertino, CA",MBA Intern,any
mba,H,mba_in07,Tesla,"Fremont, CA","Business, Marketing, and Operations Internship",any
mba,H,mba_in08,Nike,"Beaverton, OR",Strategic Planning Internship,any
mba,H,mba_in09,Walt Disney Company,"Burbank, CA",MBA Summer Internship,any
mba,L,mba_in10,Insomniac Games,"Burbank, CA","Intern, Product Management",any
mba,L,mba_in11,Integrated Project Management,"Burr Ridge, IL",Project Management Associate Intern,any
mba,L,mba_in12,Globoforce,"Framingham, MA",Product Management MBA Intern,any
mba,L,mba_in13,Gunnison Consulting Group,"Alexandria, VA",Project Management Associate Intern,any
mba,L,mba_in14,Conductor,"New York, NY","Project Manager Intern, Professional Services ",any
mba,L,mba_in15,Hireology,"Chicago, IL","Product Management, Summer MBA Intern",any
mba,L,mba_in16,Cask,"Dallas, TX",Project Manager Summer Intern,any
mba,L,mba_in17,Plaid,"San Francisco, CA","Product Management, Summer Intern",any
mba,L,mba_in18,PMG,"Fort Worth, TX",Product Management MBA Intern,any
consultant,H,consultant_in01,McKinsey & Company,"New York, NY",Associate Intern,first
consultant,H,consultant_in02,Boston Consulting Group,"Boston, MA",Summer Associate,first
consultant,H,consultant_in03,Bain & Company,"Boston, MA",Summer Associate,first
consultant,H,consultant_in04,Deloitte,"New York, NY",Summer Associate,first
consultant,H,consultant_in05,Amazon,"Seattle, WA","Corporate Development Manager, MBA Intern",second
consultant,H,consultant_in06,Google,"Mountain View, CA",MBA Intern,second
consultant,H,consultant_in07,Microsoft,"Redmond, WA",Business Programs and Operations Intern,second
consultant,H,consultant_in08,Facebook,"Menlo Park, CA","Product Marketing Manager, MBA Intern",second
consultant,H,consultant_in09,Apple,"Cupertino, CA",MBA Intern,second
consultant,L,consultant_in10,Talent Plus,"Lincoln, NE","Summer Associate, Management Consultant",first
consultant,L,consultant_in11,AgileThought,"Tampa, FL",Summer Junior Consultant,first
consultant,L,consultant_in12,Cask,"San Diego, CA",Cask Summer Associate,first
consultant,L,consultant_in13,Anchor Advisors,"Chicago, IL",Summer Associate Consultant,first
consultant,L,consultant_in14,Globoforce,"Framingham, MA",Product Management MBA Intern,second
consultant,L,consultant_in15,Hireology,"Chicago, IL","Product Management, Summer MBA Intern",second
consultant,L,consultant_in16,Integrated Project Management,"Burr Ridge, IL",Project Management Associate Intern,second
consultant,L,consultant_in17,Plaid,"San Francisco, CA","Product Management, Summer Intern",second
consultant,L,consultant_in18,PMG,"Fort Worth, TX",Product Management MBA Intern,second
quant,H,quant_in01,Bloomberg,"New York, NY",Quantitative Risk Analytics Summer Intern,any
quant,H,quant_in02,,,,any
quant,H,quant_in03,Goldman Sachs,"New York, NY",Summer Associate,first
quant,H,quant_in04,,,,any
quant,H,quant_in05,,,,any
quant,H,quant_in06,,,,any
quant,H,quant_in07,,,,any
quant,H,quant_in08,,,,any
quant,H,quant_in09,,,,any
quant,L,quant_in10,,,,any
quant,L,quant_in11,,,,any
quant,L,quant_in12,,,,any
quant,L,quant_in13,,,,any
quant,L,quant_in14,,,,any
quant,L,quant_in15,,,,any
quant,L,quant_in16,,,,any
quant,L,quant_in17,,,,any
quant,L,quant_in18,,,,any
cs,H,cs_in01,Google,"Mountain View, CA",Software Engineering Intern,any
cs,H,cs_in02,Facebook,"Menlo Park, CA",Software Engineer Intern,any
cs,H,cs_in03,LinkedIn,"Sunnyvale, CA",Software Engineering Summer Intern,any
cs,H,cs_in04,Apple,"Cupertino, CA","Software Engineer, Summer Intern",any
cs,H,cs_in05,Amazon,"Seattle, WA",Software Engineering Intern,any
cs,H,cs_in06,Microsoft,"Redmond, WA",Software Engineer Intern,any
cs,H,cs_in07,Twitter,"San Francisco, CA",Software Engineering Summer Intern,any
cs,H,cs_in08,Uber,"San Francisco, CA","Software Engineer, Summer Intern",any
cs,H,cs_in09,Airbnb,"San Francisco, CA","Software Engineering, Summer Intern",any
cs,L,cs_in10,Vidora,"San Francisco, CA",Software Engineering Intern,any
cs,L,cs_in11,Naborly,"San Francisco, CA",Software Engineer Intern,any
cs,L,cs_in12,Clobotics,"Seattle, WA",Software Engineering Summer Intern,any
cs,L,cs_in13,Shift,"San Francisco, CA","Software Engineer, Summer Intern",any
cs,L,cs_in14,Skymind,"San Francisco, CA",Software Engineering Intern,any
cs,L,cs_in15,Cylance,"Irvine, CA",Software Engineer Intern,any
cs,L,cs_in16,Stratio,"Los Gatos, CA",Software Engineering Summer Intern,any
cs,L,cs_in17,Wove,"San Francisco, CA","Software Engineer, Summer Intern",any
cs,L,cs_in18,Miro,"San Francisco, CA","Software Engineering, Summer Intern",any
