region,sid,ug_sid,ug_school,ug_school_short,ug_ctyst,treatment,profile,prestige
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford Democrats,P01DH,H
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford College Republicans,P05RH,H
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford Associated Students,P03NH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Berkeley College Republicans,P05RH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Cal Berkeley Democrats,P01DH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Cal Associated Students,P03NH,H
westcoast,s33,ba03,"University of California, Los Angeles",UCLA,"Los Angeles, CA",president of the UCLA Bruin Republicans,P05RH,H
westcoast,s33,ba03,"University of California, Los Angeles",UCLA,"Los Angeles, CA",president of the UCLA Bruin Democrats,P01DH,H
westcoast,s33,ba03,"University of California, Los Angeles",UCLA,"Los Angeles, CA",president of the UCLA Associated Students,P03NH,H
westcoast,s03,ba04,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton College Democrats",P02DL,L
westcoast,s03,ba04,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton Republicans",P06RL,L
westcoast,s03,ba04,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton Associated Students",P04NL,L
westcoast,s02,ba05,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State College Democrats,P02DL,L
westcoast,s02,ba05,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State College Republicans,P06RL,L
westcoast,s02,ba05,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State Associated Students,P04NL,L
westcoast,s14,ba06,Portland State University,Portland State,"Portland, OR",president of the Portland State College Republicans,P06RL,L
westcoast,s14,ba06,Portland State University,Portland State,"Portland, OR",president of the Portland State College Democrats,P02DL,L
westcoast,s14,ba06,Portland State University,Portland State,"Portland, OR",president of the Associated Students of Portland State University,P04NL,L
south,s31,ba07,Duke University,Duke,"Durham, North Carolina",president of the Duke College Republicans,P05RH,H
south,s31,ba07,Duke University,Duke,"Durham, North Carolina",president of the Duke Democrats,P01DH,H
south,s31,ba07,Duke University,Duke,"Durham, North Carolina",president of the Duke Student Government,P03NH,H
south,s16,ba08,Rice University,Rice,"Houston, TX",president of the Rice University College Republicans,P05RH,H
south,s16,ba08,Rice University,Rice,"Houston, TX",president of the Rice University Young Democrats,P01DH,H
south,s16,ba08,Rice University,Rice,"Houston, TX",president of the Rice University Student Association,P03NH,H
south,s29,ba09,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt College Republicans,P05RH,H
south,s29,ba09,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt College Democrats,P01DH,H
south,s29,ba09,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt Student Government,P03NH,H
south,s39,ba10,"University of North Carolina, Greensboro",UNC Greensboro,"Greensboro, NC",president of the UNC Greensboro College Republicans,P06RL,L
south,s39,ba10,"University of North Carolina, Greensboro",UNC Greensboro,"Greensboro, NC",president of the UNC Greensboro College Democrats,P02DL,L
south,s39,ba10,"University of North Carolina, Greensboro",UNC Greensboro,"Greensboro, NC",president of the UNC Greensboro Student Government Association,P04NL,L
