list_id,company,raw_company
f1000_4,McKesson,McKesson
f1000_8,AT&T,AT&T
f1000_10,AmerisourceBergen,AmerisourceBergen
f1000_11,Amazon,Amazon.com
f1000_12,General Electric,General Electric
f1000_15,Costco,Costco
f1000_17,Kroger,Kroger
f1000_22,Home Depot,Home Depot
f1000_25,Bank of America,Bank of America Corp.
f1000_27,Microsoft,Microsoft
f1000_30,Comcast,Comcast
f1000_31,IBM,IBM
f1000_32,State Farm Insurance,State Farm Insurance Cos.
f1000_33,Phillips 66,Phillips 66
f1000_38,Freddie Mac,Freddie Mac
f1000_44,Archer Daniels Midland,Archer Daniels Midland
f1000_47,Prudential Financial,Prudential Financial
f1000_49,United Technologies,United Technologies
f1000_54,AIG,AIG
f1000_57,FedEx,FedEx
f1000_58,Hewlett Packard Enterprise,Hewlett Packard Enterprise
f1000_59,Cisco Systems,Cisco Systems
f1000_60,HP,HP
f1000_63,Coca-Cola,Coca-Cola
f1000_64,New York Life Insurance,New York Life Insurance
f1000_66,American Airlines Group,American Airlines Group
f1000_67,Nationwide,Nationwide
f1000_73,Caterpillar,Caterpillar
f1000_78,Energy Transfer Equity,Energy Transfer Equity
f1000_85,American Express,American Express
f1000_86,TJX,TJX
f1000_88,Exelon,Exelon
f1000_92,CHS,CHS
f1000_93,3M,3M
f1000_94,Time Warner,Time Warner
f1000_96,Northwestern Mutual,Northwestern Mutual
f1000_105,Kraft Heinz,Kraft Heinz
f1000_112,DuPont,DuPont
f1000_113,Northrop Grumman,Northrop Grumman
f1000_115,Raytheon,Raytheon
f1000_118,Qualcomm,Qualcomm
f1000_122,Amgen,Amgen
f1000_124,U.S. Bank,U.S. Bancorp
f1000_130,Starbucks,Starbucks
f1000_132,International Paper,International Paper
f1000_135,Dollar Tree,Dollar Tree
f1000_137,Southwest Airlines,Southwest Airlines
f1000_144,Southern,Southern
f1000_146,Bristol-Myers Squibb,Bristol-Myers Squibb
f1000_149,Kohl's,Kohl's
f1000_150,Lear,Lear
f1000_153,Thermo Fisher Scientific,Thermo Fisher Scientific
f1000_154,Kimberly-Clark,Kimberly-Clark
f1000_155,Molina Healthcare,Molina Healthcare
f1000_156,PG&E,PG&E Corp.
f1000_160,Aecom,AECOM
f1000_168,Nucor,Nucor
f1000_170,Performance Food Group,Performance Food Group
f1000_171,PBF Energy,PBF Energy
f1000_172,Halliburton,Halliburton
f1000_175,Whole Foods Market,Whole Foods Market
f1000_177,GAP,Gap
f1000_178,Omnicom Group,Omnicom Group
f1000_179,Genuine Parts,Genuine Parts
f1000_185,DISH Network,DISH Network
f1000_188,INTL FCStone,INTL FCStone
f1000_189,WestRock,WestRock
f1000_190,XPO Logistics,XPO Logistics
f1000_195,FirstEnergy,FirstEnergy
f1000_196,Conagra Brands,Conagra Brands
f1000_197,Synnex,Synnex
f1000_200,Waste Management,Waste Management
f1000_205,Texas Instruments,Texas Instruments
f1000_206,Lincoln National,Lincoln National
f1000_209,Marsh & McLennan,Marsh & McLennan
f1000_212,Loews,Loews
f1000_217,Guardian Life Ins. Co. of America,Guardian Life Ins. Co. of America
f1000_218,Ross Stores,Ross Stores
f1000_220,J.C. Penney,J.C. Penney
f1000_222,Reynolds American,Reynolds American
f1000_226,Principal Financial,Principal Financial
f1000_227,Arconic,Arconic
f1000_234,Edison,Edison International
f1000_236,NGL Energy Partners,NGL Energy Partners
f1000_238,Ameriprise Financial,Ameriprise Financial
f1000_241,First Data,First Data
f1000_244,BB&T,BB&T Corp.
f1000_246,Core-Mark,Core-Mark Holding
f1000_247,Biogen,Biogen
f1000_249,Stanley Black & Decker,Stanley Black & Decker
f1000_250,Parker-Hannifin,Parker-Hannifin
f1000_251,Stryker,Stryker
f1000_254,BlackRock,BlackRock
f1000_264,Applied Materials,Applied Materials
f1000_265,Voya Financial,Voya Financial
f1000_266,Mastercard,Mastercard
f1000_267,Priceline Group,Priceline Group
f1000_270,State Street,State Street Corp.
f1000_273,HollyFrontier,HollyFrontier
f1000_278,United States Steel,United States Steel
f1000_281,W.W. Grainger,W.W. Grainger
f1000_282,Autoliv,Autoliv
f1000_287,Owens & Minor,Owens & Minor
f1000_288,Huntsman,Huntsman
f1000_296,MGM Resorts,MGM Resorts International
f1000_297,Corning,Corning
f1000_300,Fidelity National Information Services,Fidelity National Information Services
f1000_301,Pacific Life,Pacific Life
f1000_303,LKQ,LKQ
f1000_304,BorgWarner,BorgWarner
f1000_307,Public Service Enterprise Group,Public Service Enterprise Group
f1000_308,Eastman Chemical,Eastman Chemical
f1000_309,eBay,eBay
f1000_310,Mohawk Industries,Mohawk Industries
f1000_311,Oneok,Oneok
f1000_312,Frontier Communications,Frontier Communications
f1000_313,Netflix,Netflix
f1000_316,Expedia,Expedia
f1000_317,Lithia Motors,Lithia Motors
f1000_318,Avis Budget Group,Avis Budget Group
f1000_321,Tenneco,Tenneco
f1000_327,Newmont Mining,Newmont Mining
f1000_331,News Corp,News Corp.
f1000_332,Crown,Crown Holdings
f1000_333,Global Partners,Global Partners
f1000_334,PVH,PVH
f1000_336,Navistar,Navistar International
f1000_338,Campbell Soup,Campbell Soup
f1000_343,Anadarko Petroleum,Anadarko Petroleum
f1000_345,J.M. Smucker,J.M. Smucker
f1000_347,Foot Locker,Foot Locker
f1000_351,Zimmer Biomet,Zimmer Biomet Holdings
f1000_353,W.R. Berkley,W.R. Berkley
f1000_360,Assurant,Assurant
f1000_365,Quest Diagnostics,Quest Diagnostics
f1000_367,WEC Energy Group,WEC Energy Group
f1000_368,Hershey,Hershey
f1000_371,Masco,Masco
f1000_373,LifePoint Health,LifePoint Health
f1000_376,Mosaic,Mosaic
f1000_379,Huntington Ingalls Industries,Huntington Ingalls Industries
f1000_387,R.R. Donnelley & Sons,R.R. Donnelley & Sons
f1000_391,Dover,Dover
f1000_396,Sealed Air,Sealed Air
f1000_407,Constellation Brands,Constellation Brands
f1000_409,Asbury Automotive Group,Asbury Automotive Group
f1000_410,American Financial Group,American Financial Group
f1000_411,Discovery Communications,Discovery Communications
f1000_415,Dr Pepper Snapple Group,Dr Pepper Snapple Group
f1000_420,Builders FirstSource,Builders FirstSource
f1000_424,Oshkosh,Oshkosh
f1000_425,iHeartMedia,iHeartMedia
f1000_426,TreeHouse Foods,TreeHouse Foods
f1000_429,Avery Dennison,Avery Dennison
f1000_431,Hanesbrands,Hanesbrands
f1000_438,Old Republic,Old Republic International
f1000_440,AK Steel,AK Steel Holding
f1000_443,Avon Products,Avon Products
f1000_446,Dana,Dana
f1000_451,United Rentals,United Rentals
f1000_452,Clorox,Clorox
f1000_453,Genesis Healthcare,Genesis Healthcare
f1000_454,M&T Bank,M&T Bank Corp.
f1000_456,UGI,UGI
f1000_472,Insight Enterprises,Insight Enterprises
f1000_476,Simon Property Group,Simon Property Group
f1000_477,Western Union,Western Union
f1000_480,Booz Allen Hamilton,Booz Allen Hamilton Holding
f1000_481,Chemours,Chemours
f1000_484,Windstream,Windstream Holdings
f1000_485,Seaboard,Seaboard
f1000_486,Essendant,Essendant
f1000_487,Apache,Apache
f1000_488,Airgas,Airgas
f1000_492,Robert Half,Robert Half International
f1000_495,Michaels,Michaels Cos.
f1000_500,Northern Trust,Northern Trust
f1000_504,Domtar,Domtar
f1000_505,Williams-Sonoma,Williams-Sonoma
f1000_506,Westlake Chemical,Westlake Chemical
f1000_507,Post,Post Holdings
f1000_508,Hasbro,Hasbro
f1000_512,Tutor Perini,Tutor Perini
f1000_517,CommScope,CommScope Holding
f1000_519,Cintas,Cintas
f1000_522,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals
f1000_524,Hess,Hess
f1000_528,RPM,RPM International
f1000_534,Commercial Metals,Commercial Metals
f1000_535,Marathon Oil,Marathon Oil
f1000_536,Polaris Industries,Polaris Industries
f1000_537,Envision Healthcare,Envision Healthcare
f1000_538,Trinity Industries,Trinity Industries
f1000_541,Levi Strauss,Levi Strauss
f1000_544,NiSource,NiSource
f1000_545,Coach,Coach
f1000_549,CIT Group,CIT Group
f1000_552,McCormick,McCormick
f1000_554,Barnes & Noble,Barnes & Noble
f1000_556,FM Global,FM Global
f1000_557,Coty,Coty
f1000_562,Select Medical,Select Medical Holdings
f1000_563,Welltower,Welltower
f1000_565,USG,USG
f1000_566,KBR,KBR
f1000_575,Agilent Technologies,Agilent Technologies
f1000_582,CA,CA
f1000_584,Sprouts Farmers Market,Sprouts Farmers Market
