state_name,state,region,proximal_region
Alabama,AL,south,midatlantic
Alaska,AK,westcoast,northeast
Arizona,AZ,south,westcoast
Arkansas,AR,south,midatlantic
California,CA,westcoast,northeast
Colorado,CO,westcoast,south
Connecticut,CT,northeast,midatlantic
Delaware,DE,northeast,midatlantic
Florida,FL,south,midatlantic
Georgia,GA,south,midatlantic
Hawaii,HI,westcoast,northeast
Idaho,ID,westcoast,midwest
Illinois,IL,midwest,northeast
Indiana,IN,midwest,northeast
Iowa,IA,midwest,northeast
Kansas,KS,midwest,south
Kentucky,KY,south,midwest
Louisiana,LA,south,midatlantic
Maine,ME,northeast,midatlantic
Maryland,MD,midatlantic,northeast
Massachusetts,MA,northeast,midatlantic
Michigan,MI,midwest,northeast
Minnesota,MN,midwest,northeast
Mississippi,MS,south,midatlantic
Missouri,MO,midwest,northeast
Montana,MT,westcoast,midwest
Nebraska,NE,midwest,northeast
Nevada,NV,westcoast,midwest
New Hampshire,NH,northeast,midatlantic
New Jersey,NJ,northeast,midatlantic
New Mexico,NM,south,westcoast
New York,NY,northeast,midatlantic
North Carolina,NC,south,midatlantic
North Dakota,ND,midwest,northeast
Ohio,OH,midwest,northeast
Oklahoma,OK,midwest,south
Oregon,OR,westcoast,northeast
Pennsylvania,PA,northeast,midatlantic
Rhode Island,RI,northeast,midatlantic
South Carolina,SC,south,midatlantic
South Dakota,SD,midwest,northeast
Tennessee,TN,south,midatlantic
Texas,TX,south,midatlantic
Utah,UT,westcoast,midwest
Vermont,VT,northeast,midatlantic
Virginia,VA,midatlantic,northeast
Washington,WA,westcoast,northeast
West Virginia,WV,midatlantic,midwest
Wisconsin,WI,midwest,northeast
Wyoming,WY,westcoast,midwest
