region,sid,ug_sid,ug_school,ug_school_short,ug_ctyst,treatment,profile,prestige
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford Democrats,P01DH,H
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford College Republicans,P05RH,H
westcoast,s17,ba01,Stanford University,Stanford,"Stanford, CA",president of the Stanford Associated Students,P03NH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Berkeley College Republicans,P05RH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Cal Berkeley Democrats,P01DH,H
westcoast,s20,ba02,"University of California, Berkeley",Berkeley,"Berkeley, CA",president of the Cal Associated Students,P03NH,H
westcoast,s03,ba03,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton College Democrats",P02DL,L
westcoast,s03,ba03,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton Republicans",P06RL,L
westcoast,s03,ba03,"California State University, Fullerton",CSUF,"Fullerton, CA","president of the California State University, Fullerton Associated Students",P04NL,L
westcoast,s02,ba04,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State College Democrats,P02DL,L
westcoast,s02,ba04,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State College Republicans,P06RL,L
westcoast,s02,ba04,"California State University, Fresno",Fresno State,"Fresno, CA",president of the Fresno State Associated Students,P04NL,L
south,s16,ba05,Rice University,Rice,"Houston, TX",president of the Rice University College Republicans,P05RH,H
south,s16,ba05,Rice University,Rice,"Houston, TX",president of the Rice University Young Democrats,P01DH,H
south,s16,ba05,Rice University,Rice,"Houston, TX",president of the Rice University Student Association,P03NH,H
south,s29,ba06,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt College Republicans,P05RH,H
south,s29,ba06,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt College Democrats,P01DH,H
south,s29,ba06,Vanderbilt University,Vanderbilt,"Nashville, TN",president of the Vanderbilt Student Government,P03NH,H
south,s18,ba07,Texas Tech University,Texas Tech,"Lubbock, TX",president of the Texas Tech College Republicans,P06RL,L
south,s18,ba07,Texas Tech University,Texas Tech,"Lubbock, TX",president of the Texas Tech College Democrats,P02DL,L
south,s18,ba07,Texas Tech University,Texas Tech,"Lubbock, TX",president of the Texas Tech Student Government Association,P04NL,L
south,s12,ba08,Middle Tennessee State University,MTSU,"Murfreesboro, TN",president of the Middle Tennessee State University College Democrats,P02DL,L
south,s12,ba08,Middle Tennessee State University,MTSU,"Murfreesboro, TN",president of the Middle Tennessee State University College Republicans,P06RL,L
south,s12,ba08,Middle Tennessee State University,MTSU,"Murfreesboro, TN",president of the Middle Tennessee State University Student Government Association,P04NL,L
northeast,s09,ba09,Harvard University,Harvard,"Cambridge, MA",president of the Harvard Republican Club,P05RH,H
northeast,s09,ba09,Harvard University,Harvard,"Cambridge, MA",president of the Harvard College Democrats,P01DH,H
northeast,s09,ba09,Harvard University,Harvard,"Cambridge, MA",president of the Harvard Undergraduate Council,P03NH,H
northeast,s11,ba10,Massachusetts Institute of Technology,MIT,"Cambridge, MA",president of the MIT Democrats,P01DH,H
northeast,s11,ba10,Massachusetts Institute of Technology,MIT,"Cambridge, MA",president of the MIT College Republican Club,P05RH,H
